,accommodation_type,spain_travelers,spain_nights,spain_avg_stay,galicia_travelers,galicia_nights,galicia_avg_stay,come_from,year,month
0,Hotels,3004915,10132886,3.4,112149,243320,2.2,All,2001,Jan
1,Hotels,3518883,11753586,3.3,131003,269836,2.1,All,2001,Feb
2,Hotels,4333254,14516657,3.4,153081,333034,2.2,All,2001,Mar
3,Hotels,5384678,18085751,3.4,192698,432250,2.2,All,2001,Apr
4,Hotels,5673119,21063744,3.7,190637,415208,2.2,All,2001,May
5,Hotels,5914352,23896573,4,223705,492633,2.2,All,2001,Jun
6,Hotels,6405959,28657024,4.5,298884,749927,2.5,All,2001,Jul
7,Hotels,7179051,32004309,4.5,427613,1156687,2.7,All,2001,Aug
8,Hotels,6307038,26584837,4.2,268462,630954,2.4,All,2001,Sep
9,Hotels,5310403,20014768,3.8,217515,482315,2.2,All,2001,Oct
10,Hotels,3657828,11920037,3.3,161423,346905,2.2,All,2001,Nov
11,Hotels,3214821,10051397,3.1,142827,298509,2.1,All,2001,Dec
12,Hotels,2873435,9797644,3.4,108183,222059,2.1,All,2002,Jan
13,Hotels,3507891,11501625,3.3,131176,280931,2.1,All,2002,Feb
14,Hotels,4756621,15746849,3.3,191192,443540,2.3,All,2002,Mar
15,Hotels,4853120,15757341,3.3,184244,421468,2.3,All,2002,Apr
16,Hotels,5677357,20427391,3.6,205784,476556,2.3,All,2002,May
17,Hotels,5725690,22781459,4,230917,536688,2.3,All,2002,Jun
18,Hotels,6407711,27712422,4.3,308475,786138,2.6,All,2002,Jul
19,Hotels,7383775,32147463,4.4,456479,1212446,2.7,All,2002,Aug
20,Hotels,6224753,25483036,4.1,269226,654173,2.4,All,2002,Sep
21,Hotels,5360250,19395671,3.6,223860,534390,2.4,All,2002,Oct
22,Hotels,3714810,11536070,3.1,156617,374867,2.4,All,2002,Nov
23,Hotels,3383399,10267810,3,146300,320322,2.2,All,2002,Dec
24,Hotels,2971006,10088783,3.4,137871,280901,2,All,2003,Jan
25,Hotels,3463674,11135676,3.2,139395,282281,2,All,2003,Feb
26,Hotels,4421552,14414114,3.3,180307,359477,2,All,2003,Mar
27,Hotels,5408500,17483719,3.2,224575,442799,2,All,2003,Apr
28,Hotels,5984961,20977540,3.5,248741,497162,2,All,2003,May
29,Hotels,6276681,24047255,3.8,278545,566649,2,All,2003,Jun
30,Hotels,6795963,28557092,4.2,356909,798338,2.2,All,2003,Jul
31,Hotels,7697588,33851008,4.4,514028,1244312,2.4,All,2003,Aug
32,Hotels,6517598,25943815,4,359072,749524,2.1,All,2003,Sep
33,Hotels,5537248,19635547,3.6,258606,540816,2.1,All,2003,Oct
34,Hotels,3868099,11600240,3,186815,390682,2.1,All,2003,Nov
35,Hotels,3588510,10426118,2.9,166523,327362,2,All,2003,Dec
36,Hotels,3153660,10404685,3.3,149815,298485,2,All,2004,Jan
37,Hotels,3970007,12278676,3.1,179565,355294,2,All,2004,Feb
38,Hotels,4735606,14731784,3.1,209544,424659,2,All,2004,Mar
39,Hotels,5591761,17537681,3.1,283982,566790,2,All,2004,Apr
40,Hotels,6211439,20624722,3.3,314695,631864,2,All,2004,May
41,Hotels,6525030,23776940,3.6,364961,774377,2.1,All,2004,Jun
42,Hotels,7232976,29131986,4,435725,1002068,2.3,All,2004,Jul
43,Hotels,8174422,34472302,4.2,557662,1353654,2.4,All,2004,Aug
44,Hotels,6996313,26878757,3.8,414833,903016,2.2,All,2004,Sep
45,Hotels,6227271,21180295,3.4,348610,713919,2.1,All,2004,Oct
46,Hotels,4135114,12294550,3,220292,447587,2,All,2004,Nov
47,Hotels,3877669,11384786,2.9,196305,402247,2.1,All,2004,Dec
48,Hotels,3356718,11088055,3.3,150465,304844,2,All,2005,Jan
49,Hotels,4048915,12430710,3.1,168159,323164,1.9,All,2005,Feb
50,Hotels,5247632,16184767,3.1,243531,501190,2.1,All,2005,Mar
51,Hotels,5516765,16480644,3,247600,484723,2,All,2005,Apr
52,Hotels,6737689,22318874,3.3,285453,570837,2,All,2005,May
53,Hotels,6971240,25042689,3.6,327823,686259,2.1,All,2005,Jun
54,Hotels,7795374,31022067,4,444056,1029088,2.3,All,2005,Jul
55,Hotels,8555081,35857571,4.2,562299,1405234,2.5,All,2005,Aug
56,Hotels,7442751,28313666,3.8,372192,813783,2.2,All,2005,Sep
57,Hotels,6414668,22163277,3.5,301284,622464,2.1,All,2005,Oct
58,Hotels,4511989,13162420,2.9,231499,466651,2,All,2005,Nov
59,Hotels,4030203,11572418,2.9,195541,386545,2,All,2005,Dec
60,Hotels,4004676,12075662,3,173085,341329,2,All,2006,Jan
61,Hotels,4709293,13221070,2.8,184829,362136,2,All,2006,Feb
62,Hotels,5763835,16370344,2.8,223164,446843,2,All,2006,Mar
63,Hotels,7293282,21185887,2.9,317080,639995,2,All,2006,Apr
64,Hotels,7591789,23734897,3.1,301550,595914,2,All,2006,May
65,Hotels,8156578,27996368,3.4,337023,694630,2.1,All,2006,Jun
66,Hotels,9057841,34105558,3.8,436045,1053291,2.4,All,2006,Jul
67,Hotels,9713364,37636214,3.9,537823,1353909,2.5,All,2006,Aug
68,Hotels,8420366,29918731,3.6,368279,788320,2.1,All,2006,Sep
69,Hotels,7357196,23372257,3.2,308137,646564,2.1,All,2006,Oct
70,Hotels,5114939,14269663,2.8,217297,442136,2,All,2006,Nov
71,Hotels,4672741,13141207,2.8,194910,392976,2,All,2006,Dec
72,Hotels,4158378,12356394,3,172364,343879,2,All,2007,Jan
73,Hotels,4853246,13555040,2.8,183873,363288,2,All,2007,Feb
74,Hotels,6151952,17428802,2.8,236112,475331,2,All,2007,Mar
75,Hotels,7394418,21690169,2.9,311548,644774,2.1,All,2007,Apr
76,Hotels,7639348,23486608,3.1,302965,599666,2,All,2007,May
77,Hotels,8555535,28459008,3.3,345944,728375,2.1,All,2007,Jun
78,Hotels,9176950,34315590,3.7,436462,1002555,2.3,All,2007,Jul
79,Hotels,10025687,38132493,3.8,560665,1368319,2.4,All,2007,Aug
80,Hotels,8621798,30142242,3.5,392998,837584,2.1,All,2007,Sep
81,Hotels,7540505,23476804,3.1,353104,734608,2.1,All,2007,Oct
82,Hotels,5534255,15289839,2.8,241326,511589,2.1,All,2007,Nov
83,Hotels,4771361,13356493,2.8,202162,415010,2.1,All,2007,Dec
84,Hotels,4328480,12710146,2.9,177452,366988,2.1,All,2008,Jan
85,Hotels,5242247,14831691,2.8,201173,415535,2.1,All,2008,Feb
86,Hotels,6614348,19216126,2.9,268667,587551,2.2,All,2008,Mar
87,Hotels,6656665,19300764,2.9,262492,541130,2.1,All,2008,Apr
88,Hotels,8109904,25060656,3.1,330869,685871,2.1,All,2008,May
89,Hotels,8280336,27737509,3.4,325833,702436,2.2,All,2008,Jun
90,Hotels,9219035,34559658,3.8,405295,964138,2.4,All,2008,Jul
91,Hotels,9954774,37945216,3.8,511162,1252030,2.5,All,2008,Aug
92,Hotels,8359855,29305643,3.5,352205,777991,2.2,All,2008,Sep
93,Hotels,7035977,22253202,3.2,314422,677489,2.2,All,2008,Oct
94,Hotels,4870882,13685099,2.8,209534,454474,2.2,All,2008,Nov
95,Hotels,4326374,11946130,2.8,173633,364733,2.1,All,2008,Dec
96,Hotels,3716510,11203819,3,152215,313760,2.1,All,2009,Jan
97,Hotels,4447323,12527991,2.8,172693,351328,2,All,2009,Feb
98,Hotels,5303127,15536341,2.9,201440,428640,2.1,All,2009,Mar
99,Hotels,6542718,19591068,3,261619,556533,2.1,All,2009,Apr
100,Hotels,7378804,22661503,3.1,296292,612711,2.1,All,2009,May
101,Hotels,7630129,26082353,3.4,316161,679821,2.2,All,2009,Jun
102,Hotels,8712905,32764251,3.8,405787,956703,2.4,All,2009,Jul
103,Hotels,9423345,36192581,3.8,525735,1282553,2.4,All,2009,Aug
104,Hotels,7827994,27387006,3.5,365607,794415,2.2,All,2009,Sep
105,Hotels,7011612,21752259,3.1,324035,685041,2.1,All,2009,Oct
106,Hotels,4710822,13255271,2.8,198713,424307,2.1,All,2009,Nov
107,Hotels,4435027,12030368,2.7,179159,358644,2,All,2009,Dec
108,Hotels,3767159,11308373,3,143036,288774,2,All,2010,Jan
109,Hotels,4610953,13108750,2.8,170478,341801,2,All,2010,Feb
110,Hotels,5706500,16752851,2.9,229789,472665,2.1,All,2010,Mar
111,Hotels,6786265,19843019,2.9,302232,631319,2.1,All,2010,Apr
112,Hotels,7810020,23982979,3.1,353932,703132,2,All,2010,May
113,Hotels,8087317,27357010,3.4,380253,790352,2.1,All,2010,Jun
114,Hotels,9399554,34909440,3.7,460670,1041017,2.3,All,2010,Jul
115,Hotels,10014468,39085826,3.9,562156,1363203,2.4,All,2010,Aug
116,Hotels,8400100,29696355,3.5,428272,936722,2.2,All,2010,Sep
117,Hotels,7679996,23976893,3.1,366463,778452,2.1,All,2010,Oct
118,Hotels,4976017,14363392,2.9,212608,446516,2.1,All,2010,Nov
