,come_from,%,year,trimester
0,Alemania,0.92,2022,1
1,Alemania,1.31,2021,4
2,Alemania,2.02,2021,3
3,Alemania,1.02,2021,2
4,Alemania,1.37,2021,1
5,Alemania,2.27,2020,4
6,Alemania,2.34,2020,3
7,Alemania,.,2020,2
8,Alemania,1.09,2020,1
9,Alemania,1.53,2019,4
10,Alemania,2.39,2019,3
11,Alemania,1.95,2019,2
12,Alemania,0.92,2019,1
13,Alemania,1.42,2018,4
14,Alemania,2.47,2018,3
15,Alemania,2.09,2018,2
16,Alemania,1.31,2018,1
17,Andorra,2.08,2022,1
18,Andorra,2.45,2021,4
19,Andorra,3.75,2021,3
20,Andorra,2.28,2021,2
21,Andorra,2.22,2021,1
22,Andorra,3.09,2020,4
23,Andorra,3.46,2020,3
24,Andorra,.,2020,2
25,Andorra,1.87,2020,1
26,Andorra,2.21,2019,4
27,Andorra,3.17,2019,3
28,Andorra,1.52,2019,2
29,Andorra,1.39,2019,1
30,Andorra,1.94,2018,4
31,Andorra,3.27,2018,3
32,Andorra,1.94,2018,2
33,Andorra,2.35,2018,1
34,Austria,0.92,2022,1
35,Austria,1.67,2021,4
36,Austria,2.17,2021,3
37,Austria,1.44,2021,2
38,Austria,1.46,2021,1
39,Austria,3.31,2020,4
40,Austria,3.11,2020,3
41,Austria,.,2020,2
42,Austria,1,2020,1
43,Austria,1.79,2019,4
44,Austria,2.43,2019,3
45,Austria,2.18,2019,2
46,Austria,0.76,2019,1
47,Austria,1.6,2018,4
48,Austria,2.38,2018,3
49,Austria,2.61,2018,2
50,Austria,1.15,2018,1
51,B�lgica,0.72,2022,1
52,B�lgica,0.93,2021,4
53,B�lgica,1.32,2021,3
54,B�lgica,0.89,2021,2
55,B�lgica,1.51,2021,1
56,B�lgica,1.81,2020,4
57,B�lgica,1.61,2020,3
58,B�lgica,.,2020,2
59,B�lgica,0.81,2020,1
60,B�lgica,0.96,2019,4
61,B�lgica,1.45,2019,3
62,B�lgica,1.13,2019,2
63,B�lgica,0.69,2019,1
64,B�lgica,1.07,2018,4
65,B�lgica,1.52,2018,3
66,B�lgica,1.15,2018,2
67,B�lgica,1.11,2018,1
68,Dinamarca,0.43,2022,1
69,Dinamarca,0.85,2021,4
70,Dinamarca,1.02,2021,3
71,Dinamarca,1.29,2021,2
72,Dinamarca,2.17,2021,1
73,Dinamarca,2.45,2020,4
74,Dinamarca,1.61,2020,3
75,Dinamarca,.,2020,2
76,Dinamarca,0.55,2020,1
77,Dinamarca,1.12,2019,4
78,Dinamarca,1.5,2019,3
79,Dinamarca,1.53,2019,2
80,Dinamarca,0.63,2019,1
81,Dinamarca,1.27,2018,4
82,Dinamarca,1.27,2018,3
83,Dinamarca,1.49,2018,2
84,Dinamarca,0.71,2018,1
85,Finlandia,0.31,2022,1
86,Finlandia,0.44,2021,4
87,Finlandia,1.06,2021,3
88,Finlandia,1.25,2021,2
89,Finlandia,0.9,2021,1
90,Finlandia,1.46,2020,4
91,Finlandia,1.93,2020,3
92,Finlandia,.,2020,2
93,Finlandia,0.39,2020,1
94,Finlandia,0.55,2019,4
95,Finlandia,1.17,2019,3
96,Finlandia,0.98,2019,2
97,Finlandia,0.27,2019,1
98,Finlandia,0.5,2018,4
99,Finlandia,1.16,2018,3
100,Finlandia,0.97,2018,2
101,Finlandia,0.47,2018,1
102,Francia,1.32,2022,1
103,Francia,1.63,2021,4
104,Francia,2.02,2021,3
105,Francia,1.58,2021,2
106,Francia,1.77,2021,1
107,Francia,2.53,2020,4
108,Francia,2.03,2020,3
109,Francia,.,2020,2
110,Francia,1.31,2020,1
111,Francia,1.56,2019,4
112,Francia,2.11,2019,3
113,Francia,1.37,2019,2
114,Francia,1.11,2019,1
115,Francia,1.61,2018,4
116,Francia,2.21,2018,3
117,Francia,1.47,2018,2
118,Francia,1.88,2018,1
119,Irlanda,1.39,2022,1
120,Irlanda,1.74,2021,4
121,Irlanda,1.94,2021,3
122,Irlanda,3.91,2021,2
123,Irlanda,3.23,2021,1
124,Irlanda,4.28,2020,4
125,Irlanda,3.85,2020,3
126,Irlanda,.,2020,2
127,Irlanda,1.95,2020,1
128,Irlanda,2.2,2019,4
129,Irlanda,2.26,2019,3
130,Irlanda,2.63,2019,2
131,Irlanda,1.24,2019,1
132,Irlanda,1.65,2018,4
133,Irlanda,2.38,2018,3
134,Irlanda,2.14,2018,2
135,Irlanda,1.19,2018,1
136,Italia,1.77,2022,1
137,Italia,2.52,2021,4
138,Italia,2.6,2021,3
139,Italia,2.1,2021,2
140,Italia,2.3,2021,1
141,Italia,3.86,2020,4
142,Italia,2.93,2020,3
143,Italia,.,2020,2
144,Italia,1.57,2020,1
145,Italia,2.37,2019,4
146,Italia,3.03,2019,3
147,Italia,2.68,2019,2
148,Italia,1.37,2019,1
149,Italia,2.28,2018,4
150,Italia,3.35,2018,3
151,Italia,2.79,2018,2
152,Italia,2.11,2018,1
153,Noruega,0.3,2022,1
154,Noruega,0.41,2021,4
155,Noruega,0.67,2021,3
156,Noruega,1.42,2021,2
157,Noruega,1.88,2021,1
158,Noruega,2.18,2020,4
159,Noruega,2.25,2020,3
160,Noruega,.,2020,2
161,Noruega,0.26,2020,1
162,Noruega,0.42,2019,4
163,Noruega,0.63,2019,3
164,Noruega,0.66,2019,2
165,Noruega,0.31,2019,1
166,Noruega,0.4,2018,4
167,Noruega,0.57,2018,3
168,Noruega,0.59,2018,2
169,Noruega,0.35,2018,1
170,Pa�ses Bajos,0.79,2022,1
171,Pa�ses Bajos,1.1,2021,4
172,Pa�ses Bajos,1.17,2021,3
173,Pa�ses Bajos,1.06,2021,2
174,Pa�ses Bajos,1.91,2021,1
175,Pa�ses Bajos,2.47,2020,4
176,Pa�ses Bajos,1.65,2020,3
177,Pa�ses Bajos,.,2020,2
178,Pa�ses Bajos,0.82,2020,1
179,Pa�ses Bajos,1.19,2019,4
180,Pa�ses Bajos,1.38,2019,3
181,Pa�ses Bajos,1.33,2019,2
182,Pa�ses Bajos,0.69,2019,1
183,Pa�ses Bajos,1.05,2018,4
184,Pa�ses Bajos,1.45,2018,3
185,Pa�ses Bajos,1.22,2018,2
186,Pa�ses Bajos,1.14,2018,1
187,Polonia,1.01,2022,1
188,Polonia,1.48,2021,4
189,Polonia,1.77,2021,3
190,Polonia,1.3,2021,2
191,Polonia,1.56,2021,1
192,Polonia,2.5,2020,4
193,Polonia,2.2,2020,3
194,Polonia,.,2020,2
195,Polonia,1.68,2020,1
196,Polonia,1.98,2019,4
197,Polonia,2.56,2019,3
198,Polonia,2.03,2019,2
199,Polonia,1.52,2019,1
200,Polonia,1.82,2018,4
201,Polonia,2.32,2018,3
202,Polonia,1.98,2018,2
203,Polonia,2.01,2018,1
204,Portugal,26.39,2022,1
205,Portugal,26.65,2021,4
206,Portugal,22.09,2021,3
207,Portugal,27.52,2021,2
208,Portugal,19.68,2021,1
209,Portugal,30.86,2020,4
210,Portugal,30.08,2020,3
211,Portugal,.,2020,2
212,Portugal,23.98,2020,1
213,Portugal,23.47,2019,4
214,Portugal,22.33,2019,3
215,Portugal,22.77,2019,2
216,Portugal,21.81,2019,1
217,Portugal,23.8,2018,4
218,Portugal,23.63,2018,3
219,Portugal,22.23,2018,2
220,Portugal,28.76,2018,1
221,Reino Unido,1.04,2022,1
222,Reino Unido,1.28,2021,4
223,Reino Unido,1.25,2021,3
224,Reino Unido,1.96,2021,2
225,Reino Unido,2.89,2021,1
226,Reino Unido,2.55,2020,4
227,Reino Unido,2.12,2020,3
228,Reino Unido,.,2020,2
229,Reino Unido,1.17,2020,1
230,Reino Unido,1.35,2019,4
231,Reino Unido,1.23,2019,3
232,Reino Unido,1.17,2019,2
233,Reino Unido,0.91,2019,1
234,Reino Unido,1.29,2018,4
235,Reino Unido,1.43,2018,3
236,Reino Unido,1.23,2018,2
237,Reino Unido,1.45,2018,1
238,Ruman�a,1.3,2022,1
239,Ruman�a,1.48,2021,4
240,Ruman�a,1.37,2021,3
241,Ruman�a,1.82,2021,2
242,Ruman�a,2.23,2021,1
243,Ruman�a,2.94,2020,4
244,Ruman�a,2.37,2020,3
245,Ruman�a,.,2020,2
246,Ruman�a,1.64,2020,1
247,Ruman�a,1.8,2019,4
248,Ruman�a,1.64,2019,3
249,Ruman�a,1.32,2019,2
250,Ruman�a,1.19,2019,1
251,Ruman�a,1.37,2018,4
252,Ruman�a,1.51,2018,3
253,Ruman�a,1.64,2018,2
254,Ruman�a,2.24,2018,1
255,Rusia,0.59,2022,1
256,Rusia,0.78,2021,4
257,Rusia,0.75,2021,3
258,Rusia,0.89,2021,2
259,Rusia,0.99,2021,1
260,Rusia,0.92,2020,4
261,Rusia,0.9,2020,3
262,Rusia,.,2020,2
263,Rusia,0.57,2020,1
264,Rusia,0.74,2019,4
265,Rusia,0.53,2019,3
266,Rusia,0.65,2019,2
267,Rusia,0.33,2019,1
268,Rusia,0.6,2018,4
269,Rusia,0.5,2018,3
270,Rusia,0.65,2018,2
271,Rusia,0.54,2018,1
272,Suecia,0.36,2022,1
273,Suecia,0.59,2021,4
274,Suecia,0.66,2021,3
275,Suecia,0.75,2021,2
276,Suecia,0.8,2021,1
277,Suecia,0.81,2020,4
278,Suecia,0.8,2020,3
279,Suecia,.,2020,2
280,Suecia,0.38,2020,1
281,Suecia,0.54,2019,4
282,Suecia,0.82,2019,3
283,Suecia,0.63,2019,2
284,Suecia,0.27,2019,1
285,Suecia,0.46,2018,4
286,Suecia,0.76,2018,3
287,Suecia,0.54,2018,2
288,Suecia,0.35,2018,1
289,Suiza,4.2,2022,1
290,Suiza,3.97,2021,4
291,Suiza,5.82,2021,3
