,destination,come_from,total,year,month
568,Galicia,Spain,1324693,2022,Aug
569,Galicia,Spain,1041010,2022,Jul
570,Galicia,Spain,621095,2022,Jun
571,Galicia,Spain,509886,2022,May
572,Galicia,Spain,520912,2022,Apr
573,Galicia,Spain,332906,2022,Mar
574,Galicia,Spain,272890,2022,Feb
575,Galicia,Spain,195591,2022,Jan
576,Galicia,Spain,349464,2021,Dec
577,Galicia,Spain,374296,2021,Nov
578,Galicia,Spain,598102,2021,Oct
579,Galicia,Spain,770473,2021,Sep
580,Galicia,Spain,1357260,2021,Aug
581,Galicia,Spain,965649,2021,Jul
582,Galicia,Spain,443180,2021,Jun
583,Galicia,Spain,249610,2021,May
584,Galicia,Spain,174635,2021,Apr
585,Galicia,Spain,159697,2021,Mar
586,Galicia,Spain,88896,2021,Feb
587,Galicia,Spain,96135,2021,Jan
588,Galicia,Spain,110512,2020,Dec
589,Galicia,Spain,113769,2020,Nov
590,Galicia,Spain,243277,2020,Oct
591,Galicia,Spain,373628,2020,Sep
592,Galicia,Spain,837783,2020,Aug
593,Galicia,Spain,552098,2020,Jul
594,Galicia,Spain,105791,2020,Jun
595,Galicia,Spain,15557,2020,May
596,Galicia,Spain,0,2020,Apr
597,Galicia,Spain,147182,2020,Mar
598,Galicia,Spain,317158,2020,Feb
599,Galicia,Spain,278203,2020,Jan
600,Galicia,Spain,392872,2019,Dec
601,Galicia,Spain,412580,2019,Nov
602,Galicia,Spain,558569,2019,Oct
603,Galicia,Spain,711609,2019,Sep
604,Galicia,Spain,1269972,2019,Aug
605,Galicia,Spain,963299,2019,Jul
606,Galicia,Spain,591155,2019,Jun
607,Galicia,Spain,506098,2019,May
608,Galicia,Spain,494636,2019,Apr
609,Galicia,Spain,364653,2019,Mar
610,Galicia,Spain,281245,2019,Feb
611,Galicia,Spain,252961,2019,Jan
612,Galicia,Spain,346662,2018,Dec
613,Galicia,Spain,402090,2018,Nov
614,Galicia,Spain,559412,2018,Oct
615,Galicia,Spain,692979,2018,Sep
616,Galicia,Spain,1210429,2018,Aug
617,Galicia,Spain,914963,2018,Jul
618,Galicia,Spain,577608,2018,Jun
619,Galicia,Spain,447645,2018,May
620,Galicia,Spain,430021,2018,Apr
621,Galicia,Spain,406165,2018,Mar
622,Galicia,Spain,265015,2018,Feb
623,Galicia,Spain,249481,2018,Jan
624,Galicia,Spain,324672,2017,Dec
625,Galicia,Spain,387923,2017,Nov
626,Galicia,Spain,581362,2017,Oct
627,Galicia,Spain,706877,2017,Sep
628,Galicia,Spain,1310118,2017,Aug
629,Galicia,Spain,992971,2017,Jul
630,Galicia,Spain,599923,2017,Jun
631,Galicia,Spain,436823,2017,May
632,Galicia,Spain,533094,2017,Apr
633,Galicia,Spain,336761,2017,Mar
634,Galicia,Spain,259619,2017,Feb
635,Galicia,Spain,233001,2017,Jan
636,Galicia,Spain,303058,2016,Dec
637,Galicia,Spain,351473,2016,Nov
638,Galicia,Spain,561319,2016,Oct
639,Galicia,Spain,684870,2016,Sep
640,Galicia,Spain,1230387,2016,Aug
641,Galicia,Spain,960151,2016,Jul
642,Galicia,Spain,543736,2016,Jun
643,Galicia,Spain,410466,2016,May
644,Galicia,Spain,349550,2016,Apr
645,Galicia,Spain,417791,2016,Mar
646,Galicia,Spain,272258,2016,Feb
647,Galicia,Spain,222392,2016,Jan
648,Galicia,Spain,279375,2015,Dec
649,Galicia,Spain,307200,2015,Nov
650,Galicia,Spain,509317,2015,Oct
651,Galicia,Spain,628930,2015,Sep
652,Galicia,Spain,1169976,2015,Aug
653,Galicia,Spain,849171,2015,Jul
654,Galicia,Spain,520565,2015,Jun
655,Galicia,Spain,419383,2015,May
656,Galicia,Spain,410119,2015,Apr
657,Galicia,Spain,334757,2015,Mar
658,Galicia,Spain,234776,2015,Feb
659,Galicia,Spain,204728,2015,Jan
660,Galicia,Spain,263534,2014,Dec
661,Galicia,Spain,322387,2014,Nov
662,Galicia,Spain,481055,2014,Oct
663,Galicia,Spain,606072,2014,Sep
664,Galicia,Spain,1098939,2014,Aug
665,Galicia,Spain,735697,2014,Jul
666,Galicia,Spain,471734,2014,Jun
667,Galicia,Spain,404494,2014,May
668,Galicia,Spain,390314,2014,Apr
669,Galicia,Spain,294933,2014,Mar
670,Galicia,Spain,233365,2014,Feb
671,Galicia,Spain,207573,2014,Jan
672,Galicia,Spain,269797,2013,Dec
673,Galicia,Spain,329959,2013,Nov
674,Galicia,Spain,432806,2013,Oct
675,Galicia,Spain,578187,2013,Sep
676,Galicia,Spain,1066191,2013,Aug
677,Galicia,Spain,723996,2013,Jul
678,Galicia,Spain,435853,2013,Jun
679,Galicia,Spain,396529,2013,May
680,Galicia,Spain,317087,2013,Apr
681,Galicia,Spain,347558,2013,Mar
682,Galicia,Spain,231179,2013,Feb
683,Galicia,Spain,215028,2013,Jan
684,Galicia,Spain,252890,2012,Dec
685,Galicia,Spain,322244,2012,Nov
686,Galicia,Spain,467711,2012,Oct
687,Galicia,Spain,548205,2012,Sep
688,Galicia,Spain,990617,2012,Aug
689,Galicia,Spain,700690,2012,Jul
690,Galicia,Spain,466852,2012,Jun
691,Galicia,Spain,385255,2012,May
692,Galicia,Spain,418134,2012,Apr
693,Galicia,Spain,314351,2012,Mar
694,Galicia,Spain,249599,2012,Feb
695,Galicia,Spain,212237,2012,Jan
696,Galicia,Spain,284170,2011,Dec
697,Galicia,Spain,326234,2011,Nov
698,Galicia,Spain,517250,2011,Oct
699,Galicia,Spain,623876,2011,Sep
700,Galicia,Spain,1030532,2011,Aug
701,Galicia,Spain,828596,2011,Jul
702,Galicia,Spain,527578,2011,Jun
703,Galicia,Spain,444578,2011,May
704,Galicia,Spain,477139,2011,Apr
705,Galicia,Spain,329759,2011,Mar
706,Galicia,Spain,257635,2011,Feb
707,Galicia,Spain,221052,2011,Jan
708,Galicia,Spain,333406,2010,Dec
709,Galicia,Spain,392694,2010,Nov
710,Galicia,Spain,640473,2010,Oct
711,Galicia,Spain,755947,2010,Sep
712,Galicia,Spain,1153831,2010,Aug
713,Galicia,Spain,858602,2010,Jul
714,Galicia,Spain,639584,2010,Jun
715,Galicia,Spain,558830,2010,May
716,Galicia,Spain,531445,2010,Apr
717,Galicia,Spain,409948,2010,Mar
718,Galicia,Spain,287530,2010,Feb
719,Galicia,Spain,245674,2010,Jan
720,Galicia,Spain,313126,2009,Dec
721,Galicia,Spain,364689,2009,Nov
722,Galicia,Spain,563570,2009,Oct
723,Galicia,Spain,643505,2009,Sep
724,Galicia,Spain,1117813,2009,Aug
725,Galicia,Spain,806779,2009,Jul
726,Galicia,Spain,543608,2009,Jun
727,Galicia,Spain,481151,2009,May
728,Galicia,Spain,468836,2009,Apr
729,Galicia,Spain,368327,2009,Mar
730,Galicia,Spain,297417,2009,Feb
731,Galicia,Spain,261751,2009,Jan
732,Galicia,Spain,312260,2008,Dec
733,Galicia,Spain,389716,2008,Nov
734,Galicia,Spain,560036,2008,Oct
735,Galicia,Spain,623126,2008,Sep
736,Galicia,Spain,1072448,2008,Aug
737,Galicia,Spain,799759,2008,Jul
738,Galicia,Spain,556379,2008,Jun
739,Galicia,Spain,534778,2008,May
740,Galicia,Spain,429133,2008,Apr
741,Galicia,Spain,503697,2008,Mar
742,Galicia,Spain,343573,2008,Feb
743,Galicia,Spain,309651,2008,Jan
744,Galicia,Spain,350470,2007,Dec
745,Galicia,Spain,434480,2007,Nov
746,Galicia,Spain,596686,2007,Oct
747,Galicia,Spain,678052,2007,Sep
748,Galicia,Spain,1171552,2007,Aug
749,Galicia,Spain,836021,2007,Jul
750,Galicia,Spain,560940,2007,Jun
751,Galicia,Spain,451964,2007,May
752,Galicia,Spain,532241,2007,Apr
753,Galicia,Spain,399393,2007,Mar
754,Galicia,Spain,297623,2007,Feb
755,Galicia,Spain,288996,2007,Jan
756,Galicia,Spain,336119,2006,Dec
757,Galicia,Spain,379884,2006,Nov
758,Galicia,Spain,535246,2006,Oct
759,Galicia,Spain,643269,2006,Sep
760,Galicia,Spain,1170150,2006,Aug
761,Galicia,Spain,894305,2006,Jul
762,Galicia,Spain,559282,2006,Jun
763,Galicia,Spain,475049,2006,May
764,Galicia,Spain,544959,2006,Apr
765,Galicia,Spain,388385,2006,Mar
766,Galicia,Spain,307912,2006,Feb
767,Galicia,Spain,290107,2006,Jan
768,Galicia,Spain,330036,2005,Dec
769,Galicia,Spain,392404,2005,Nov
770,Galicia,Spain,509751,2005,Oct
771,Galicia,Spain,671642,2005,Sep
772,Galicia,Spain,1218855,2005,Aug
773,Galicia,Spain,873958,2005,Jul
774,Galicia,Spain,544703,2005,Jun
775,Galicia,Spain,462027,2005,May
776,Galicia,Spain,399133,2005,Apr
777,Galicia,Spain,449375,2005,Mar
778,Galicia,Spain,280656,2005,Feb
779,Galicia,Spain,260905,2005,Jan
780,Galicia,Spain,357886,2004,Dec
781,Galicia,Spain,393148,2004,Nov
782,Galicia,Spain,604603,2004,Oct
