,accommodation_type,avg_days,year,month
0,Hotels,2.22,2022,Aug
1,Hotels,2.12,2022,Jul
2,Hotels,1.85,2022,Jun
3,Hotels,1.73,2022,May
4,Hotels,1.8,2022,Apr
5,Hotels,1.91,2022,Mar
6,Hotels,1.8,2022,Feb
7,Hotels,1.86,2022,Jan
8,Hotels,1.94,2021,Dec
9,Hotels,1.89,2021,Nov
10,Hotels,1.87,2021,Oct
11,Hotels,2.01,2021,Sep
12,Hotels,2.32,2021,Aug
13,Hotels,2.17,2021,Jul
14,Hotels,1.92,2021,Jun
15,Hotels,1.85,2021,May
16,Hotels,1.91,2021,Apr
17,Hotels,2.02,2021,Mar
18,Hotels,2.38,2021,Feb
19,Hotels,2.54,2021,Jan
20,Hotels,2.34,2020,Dec
21,Hotels,2.5,2020,Nov
22,Hotels,1.95,2020,Oct
23,Hotels,1.98,2020,Sep
24,Hotels,2.32,2020,Aug
25,Hotels,2.3,2020,Jul
26,Hotels,2.05,2020,Jun
27,Hotels,3.61,2020,May
28,Hotels,0,2020,Apr
29,Hotels,2.03,2020,Mar
30,Hotels,1.88,2020,Feb
31,Hotels,1.88,2020,Jan
32,Hotels,1.92,2019,Dec
33,Hotels,2.07,2019,Nov
34,Hotels,1.91,2019,Oct
35,Hotels,1.96,2019,Sep
36,Hotels,2.36,2019,Aug
37,Hotels,2.26,2019,Jul
38,Hotels,1.9,2019,Jun
39,Hotels,1.8,2019,May
40,Hotels,1.89,2019,Apr
41,Hotels,1.95,2019,Mar
42,Hotels,1.84,2019,Feb
43,Hotels,1.87,2019,Jan
44,Hotels,1.87,2018,Dec
45,Hotels,2.11,2018,Nov
46,Hotels,1.98,2018,Oct
47,Hotels,1.98,2018,Sep
48,Hotels,2.35,2018,Aug
49,Hotels,2.26,2018,Jul
50,Hotels,1.91,2018,Jun
51,Hotels,1.78,2018,May
52,Hotels,1.92,2018,Apr
53,Hotels,1.85,2018,Mar
54,Hotels,1.79,2018,Feb
55,Hotels,1.85,2018,Jan
56,Hotels,1.9,2017,Dec
57,Hotels,1.95,2017,Nov
58,Hotels,1.89,2017,Oct
59,Hotels,1.92,2017,Sep
60,Hotels,2.29,2017,Aug
61,Hotels,2.15,2017,Jul
62,Hotels,1.86,2017,Jun
63,Hotels,1.71,2017,May
64,Hotels,1.84,2017,Apr
65,Hotels,1.84,2017,Mar
66,Hotels,1.73,2017,Feb
67,Hotels,1.78,2017,Jan
68,Hotels,1.89,2016,Dec
69,Hotels,1.96,2016,Nov
70,Hotels,1.9,2016,Oct
71,Hotels,1.87,2016,Sep
72,Hotels,2.17,2016,Aug
73,Hotels,2.06,2016,Jul
74,Hotels,1.73,2016,Jun
75,Hotels,1.66,2016,May
76,Hotels,1.71,2016,Apr
77,Hotels,1.88,2016,Mar
78,Hotels,1.83,2016,Feb
79,Hotels,1.78,2016,Jan
80,Hotels,1.8,2015,Dec
81,Hotels,1.87,2015,Nov
82,Hotels,1.85,2015,Oct
83,Hotels,1.85,2015,Sep
84,Hotels,2.15,2015,Aug
85,Hotels,1.94,2015,Jul
86,Hotels,1.74,2015,Jun
87,Hotels,1.69,2015,May
88,Hotels,1.8,2015,Apr
89,Hotels,1.88,2015,Mar
90,Hotels,1.8,2015,Feb
91,Hotels,1.82,2015,Jan
92,Hotels,1.83,2014,Dec
93,Hotels,2.03,2014,Nov
94,Hotels,1.93,2014,Oct
95,Hotels,1.91,2014,Sep
96,Hotels,2.14,2014,Aug
97,Hotels,2.02,2014,Jul
98,Hotels,1.84,2014,Jun
99,Hotels,1.77,2014,May
100,Hotels,1.81,2014,Apr
101,Hotels,2,2014,Mar
102,Hotels,1.85,2014,Feb
103,Hotels,2,2014,Jan
104,Hotels,1.96,2013,Dec
105,Hotels,2.08,2013,Nov
106,Hotels,1.96,2013,Oct
107,Hotels,1.98,2013,Sep
108,Hotels,2.23,2013,Aug
109,Hotels,2.1,2013,Jul
110,Hotels,1.81,2013,Jun
111,Hotels,1.83,2013,May
112,Hotels,1.91,2013,Apr
113,Hotels,1.96,2013,Mar
114,Hotels,1.99,2013,Feb
115,Hotels,1.95,2013,Jan
116,Hotels,1.93,2012,Dec
117,Hotels,2.11,2012,Nov
118,Hotels,2.03,2012,Oct
119,Hotels,2.01,2012,Sep
120,Hotels,2.33,2012,Aug
121,Hotels,2.25,2012,Jul
122,Hotels,1.98,2012,Jun
123,Hotels,1.93,2012,May
124,Hotels,1.96,2012,Apr
125,Hotels,1.98,2012,Mar
126,Hotels,1.86,2012,Feb
127,Hotels,1.92,2012,Jan
128,Hotels,2.02,2011,Dec
129,Hotels,2.15,2011,Nov
130,Hotels,2.1,2011,Oct
131,Hotels,2.09,2011,Sep
132,Hotels,2.32,2011,Aug
133,Hotels,2.28,2011,Jul
134,Hotels,2.04,2011,Jun
135,Hotels,2.03,2011,May
136,Hotels,2.12,2011,Apr
137,Hotels,2.05,2011,Mar
138,Hotels,1.99,2011,Feb
139,Hotels,1.98,2011,Jan
140,Hotels,2.01,2010,Dec
141,Hotels,2.1,2010,Nov
