,accommodation_type,come_from,total,year,month
0,Hotels,Spain,568722,2022,Aug
1,Hotels,Spain,464774,2022,Jul
2,Hotels,Spain,312708,2022,Jun
3,Hotels,Spain,272096,2022,May
4,Hotels,Spain,276491,2022,Apr
5,Hotels,Spain,174139,2022,Mar
6,Hotels,Spain,153048,2022,Feb
7,Hotels,Spain,109775,2022,Jan
8,Hotels,Spain,180211,2021,Dec
9,Hotels,Spain,196209,2021,Nov
10,Hotels,Spain,304785,2021,Oct
11,Hotels,Spain,365209,2021,Sep
12,Hotels,Spain,573951,2021,Aug
13,Hotels,Spain,437167,2021,Jul
14,Hotels,Spain,229307,2021,Jun
15,Hotels,Spain,137888,2021,May
16,Hotels,Spain,93955,2021,Apr
17,Hotels,Spain,81456,2021,Mar
18,Hotels,Spain,38927,2021,Feb
19,Hotels,Spain,39470,2021,Jan
20,Hotels,Spain,48740,2020,Dec
21,Hotels,Spain,47909,2020,Nov
22,Hotels,Spain,126936,2020,Oct
23,Hotels,Spain,190153,2020,Sep
24,Hotels,Spain,357723,2020,Aug
25,Hotels,Spain,239192,2020,Jul
26,Hotels,Spain,53914,2020,Jun
27,Hotels,Spain,4606,2020,May
28,Hotels,Spain,0,2020,Apr
29,Hotels,Spain,74065,2020,Mar
30,Hotels,Spain,171517,2020,Feb
31,Hotels,Spain,151176,2020,Jan
32,Hotels,Spain,207211,2019,Dec
33,Hotels,Spain,197689,2019,Nov
34,Hotels,Spain,273113,2019,Oct
35,Hotels,Spain,330300,2019,Sep
36,Hotels,Spain,504005,2019,Aug
37,Hotels,Spain,404302,2019,Jul
38,Hotels,Spain,290639,2019,Jun
39,Hotels,Spain,257141,2019,May
40,Hotels,Spain,250716,2019,Apr
41,Hotels,Spain,189698,2019,Mar
42,Hotels,Spain,155544,2019,Feb
43,Hotels,Spain,139771,2019,Jan
44,Hotels,Spain,185832,2018,Dec
45,Hotels,Spain,195501,2018,Nov
46,Hotels,Spain,263596,2018,Oct
47,Hotels,Spain,320345,2018,Sep
48,Hotels,Spain,483188,2018,Aug
49,Hotels,Spain,377584,2018,Jul
50,Hotels,Spain,283272,2018,Jun
51,Hotels,Spain,231563,2018,May
52,Hotels,Spain,218486,2018,Apr
53,Hotels,Spain,218929,2018,Mar
54,Hotels,Spain,151232,2018,Feb
55,Hotels,Spain,138288,2018,Jan
56,Hotels,Spain,171455,2017,Dec
57,Hotels,Spain,193308,2017,Nov
58,Hotels,Spain,276745,2017,Oct
59,Hotels,Spain,324660,2017,Sep
60,Hotels,Spain,532857,2017,Aug
61,Hotels,Spain,427993,2017,Jul
62,Hotels,Spain,294836,2017,Jun
63,Hotels,Spain,231162,2017,May
64,Hotels,Spain,275310,2017,Apr
65,Hotels,Spain,183403,2017,Mar
66,Hotels,Spain,150944,2017,Feb
67,Hotels,Spain,133806,2017,Jan
68,Hotels,Spain,158715,2016,Dec
69,Hotels,Spain,176386,2016,Nov
70,Hotels,Spain,271124,2016,Oct
71,Hotels,Spain,327416,2016,Sep
