,destination,come_from,total,year,month
0,Galicia,Spain,568722,2022,Aug
1,Galicia,Spain,464774,2022,Jul
2,Galicia,Spain,312708,2022,Jun
3,Galicia,Spain,272096,2022,May
4,Galicia,Spain,276491,2022,Apr
5,Galicia,Spain,174139,2022,Mar
6,Galicia,Spain,153048,2022,Feb
7,Galicia,Spain,109775,2022,Jan
8,Galicia,Spain,180211,2021,Dec
9,Galicia,Spain,196209,2021,Nov
10,Galicia,Spain,304785,2021,Oct
11,Galicia,Spain,365209,2021,Sep
12,Galicia,Spain,573951,2021,Aug
13,Galicia,Spain,437167,2021,Jul
14,Galicia,Spain,229307,2021,Jun
15,Galicia,Spain,137888,2021,May
16,Galicia,Spain,93955,2021,Apr
17,Galicia,Spain,81456,2021,Mar
18,Galicia,Spain,38927,2021,Feb
19,Galicia,Spain,39470,2021,Jan
20,Galicia,Spain,48740,2020,Dec
21,Galicia,Spain,47909,2020,Nov
22,Galicia,Spain,126936,2020,Oct
23,Galicia,Spain,190153,2020,Sep
24,Galicia,Spain,357723,2020,Aug
25,Galicia,Spain,239192,2020,Jul
26,Galicia,Spain,53914,2020,Jun
27,Galicia,Spain,4606,2020,May
28,Galicia,Spain,0,2020,Apr
29,Galicia,Spain,74065,2020,Mar
30,Galicia,Spain,171517,2020,Feb
31,Galicia,Spain,151176,2020,Jan
32,Galicia,Spain,207211,2019,Dec
33,Galicia,Spain,197689,2019,Nov
34,Galicia,Spain,273113,2019,Oct
35,Galicia,Spain,330300,2019,Sep
36,Galicia,Spain,504005,2019,Aug
37,Galicia,Spain,404302,2019,Jul
38,Galicia,Spain,290639,2019,Jun
39,Galicia,Spain,257141,2019,May
40,Galicia,Spain,250716,2019,Apr
41,Galicia,Spain,189698,2019,Mar
42,Galicia,Spain,155544,2019,Feb
43,Galicia,Spain,139771,2019,Jan
44,Galicia,Spain,185832,2018,Dec
45,Galicia,Spain,195501,2018,Nov
46,Galicia,Spain,263596,2018,Oct
47,Galicia,Spain,320345,2018,Sep
48,Galicia,Spain,483188,2018,Aug
49,Galicia,Spain,377584,2018,Jul
50,Galicia,Spain,283272,2018,Jun
51,Galicia,Spain,231563,2018,May
52,Galicia,Spain,218486,2018,Apr
53,Galicia,Spain,218929,2018,Mar
54,Galicia,Spain,151232,2018,Feb
55,Galicia,Spain,138288,2018,Jan
56,Galicia,Spain,171455,2017,Dec
57,Galicia,Spain,193308,2017,Nov
58,Galicia,Spain,276745,2017,Oct
59,Galicia,Spain,324660,2017,Sep
60,Galicia,Spain,532857,2017,Aug
61,Galicia,Spain,427993,2017,Jul
62,Galicia,Spain,294836,2017,Jun
63,Galicia,Spain,231162,2017,May
64,Galicia,Spain,275310,2017,Apr
65,Galicia,Spain,183403,2017,Mar
66,Galicia,Spain,150944,2017,Feb
67,Galicia,Spain,133806,2017,Jan
68,Galicia,Spain,158715,2016,Dec
69,Galicia,Spain,176386,2016,Nov
70,Galicia,Spain,271124,2016,Oct
71,Galicia,Spain,327416,2016,Sep
72,Galicia,Spain,526636,2016,Aug
73,Galicia,Spain,434600,2016,Jul
74,Galicia,Spain,290026,2016,Jun
75,Galicia,Spain,224761,2016,May
76,Galicia,Spain,197903,2016,Apr
77,Galicia,Spain,218093,2016,Mar
78,Galicia,Spain,148909,2016,Feb
79,Galicia,Spain,128415,2016,Jan
80,Galicia,Spain,155244,2015,Dec
81,Galicia,Spain,161194,2015,Nov
82,Galicia,Spain,252380,2015,Oct
83,Galicia,Spain,312121,2015,Sep
84,Galicia,Spain,504571,2015,Aug
85,Galicia,Spain,408165,2015,Jul
86,Galicia,Spain,273485,2015,Jun
87,Galicia,Spain,221350,2015,May
88,Galicia,Spain,214954,2015,Apr
89,Galicia,Spain,177739,2015,Mar
90,Galicia,Spain,132654,2015,Feb
91,Galicia,Spain,114604,2015,Jan
92,Galicia,Spain,143794,2014,Dec
93,Galicia,Spain,156078,2014,Nov
94,Galicia,Spain,232581,2014,Oct
95,Galicia,Spain,286817,2014,Sep
96,Galicia,Spain,479843,2014,Aug
97,Galicia,Spain,340620,2014,Jul
98,Galicia,Spain,234163,2014,Jun
99,Galicia,Spain,209214,2014,May
100,Galicia,Spain,204276,2014,Apr
101,Galicia,Spain,147056,2014,Mar
102,Galicia,Spain,129189,2014,Feb
103,Galicia,Spain,105476,2014,Jan
104,Galicia,Spain,139117,2013,Dec
105,Galicia,Spain,156933,2013,Nov
106,Galicia,Spain,208133,2013,Oct
107,Galicia,Spain,270135,2013,Sep
108,Galicia,Spain,451989,2013,Aug
109,Galicia,Spain,325560,2013,Jul
110,Galicia,Spain,227905,2013,Jun
111,Galicia,Spain,196695,2013,May
112,Galicia,Spain,157662,2013,Apr
113,Galicia,Spain,178499,2013,Mar
114,Galicia,Spain,118884,2013,Feb
115,Galicia,Spain,113740,2013,Jan
116,Galicia,Spain,133041,2012,Dec
117,Galicia,Spain,153029,2012,Nov
118,Galicia,Spain,218505,2012,Oct
119,Galicia,Spain,252680,2012,Sep
120,Galicia,Spain,398558,2012,Aug
121,Galicia,Spain,293436,2012,Jul
122,Galicia,Spain,226777,2012,Jun
123,Galicia,Spain,182177,2012,May
124,Galicia,Spain,206239,2012,Apr
125,Galicia,Spain,156904,2012,Mar
126,Galicia,Spain,138387,2012,Feb
127,Galicia,Spain,113860,2012,Jan
128,Galicia,Spain,140786,2011,Dec
129,Galicia,Spain,151606,2011,Nov
130,Galicia,Spain,232510,2011,Oct
131,Galicia,Spain,275096,2011,Sep
132,Galicia,Spain,417788,2011,Aug
133,Galicia,Spain,343931,2011,Jul
134,Galicia,Spain,243176,2011,Jun
135,Galicia,Spain,201701,2011,May
136,Galicia,Spain,215276,2011,Apr
137,Galicia,Spain,160293,2011,Mar
138,Galicia,Spain,132340,2011,Feb
139,Galicia,Spain,116959,2011,Jan
140,Galicia,Spain,166347,2010,Dec
141,Galicia,Spain,186311,2010,Nov
142,Galicia,Spain,291408,2010,Oct
143,Galicia,Spain,326117,2010,Sep
144,Galicia,Spain,451126,2010,Aug
145,Galicia,Spain,364717,2010,Jul
146,Galicia,Spain,292478,2010,Jun
147,Galicia,Spain,262904,2010,May
148,Galicia,Spain,248503,2010,Apr
149,Galicia,Spain,201437,2010,Mar
150,Galicia,Spain,147111,2010,Feb
151,Galicia,Spain,125731,2010,Jan
152,Galicia,Spain,155555,2009,Dec
153,Galicia,Spain,171658,2009,Nov
154,Galicia,Spain,254540,2009,Oct
155,Galicia,Spain,282148,2009,Sep
156,Galicia,Spain,436526,2009,Aug
157,Galicia,Spain,327882,2009,Jul
158,Galicia,Spain,239428,2009,Jun
159,Galicia,Spain,221102,2009,May
160,Galicia,Spain,214435,2009,Apr
161,Galicia,Spain,174744,2009,Mar
162,Galicia,Spain,147568,2009,Feb
163,Galicia,Spain,131600,2009,Jan
164,Galicia,Spain,149259,2008,Dec
165,Galicia,Spain,179452,2008,Nov
166,Galicia,Spain,251234,2008,Oct
167,Galicia,Spain,267969,2008,Sep
168,Galicia,Spain,418257,2008,Aug
169,Galicia,Spain,324767,2008,Jul
170,Galicia,Spain,246229,2008,Jun
171,Galicia,Spain,244517,2008,May
