,come_from,avg_person_€,year,trimester,avg_person_day_€
0,All,231.65,2022,1,62.89
1,All,210.19,2021,4,60.52
2,All,192.7,2021,3,62.68
3,All,170.22,2021,2,74.95
4,All,146.59,2021,1,52.71
5,All,148.16,2020,4,61.61
6,All,151.12,2020,3,54.27
7,All,.,2020,2,.
8,All,229.08,2020,1,66.1
9,All,270.91,2019,4,73.5
10,All,263.96,2019,3,70.77
11,All,255.24,2019,2,81.76
12,All,160.63,2019,1,62.23
13,All,225.64,2018,4,71.86
14,All,274.46,2018,3,64.88
15,All,248.21,2018,2,75.19
16,All,262.17,2018,1,73.06
17,Alemania,194.03,2022,1,54.36
18,Alemania,195.54,2021,4,57.08
19,Alemania,206.77,2021,3,66.91
20,Alemania,171.47,2021,2,75.35
21,Alemania,148.39,2021,1,53.29
22,Alemania,153.38,2020,4,62.96
23,Alemania,170.31,2020,3,60.82
24,Alemania,.,2020,2,.
25,Alemania,262.67,2020,1,75.52
26,Alemania,324.31,2019,4,86.7
27,Alemania,332.61,2019,3,89.42
28,Alemania,338.24,2019,2,107.73
29,Alemania,210.19,2019,1,81.73
30,Alemania,284.09,2018,4,87.55
31,Alemania,349.43,2018,3,82.3
32,Alemania,332.96,2018,2,100.44
33,Alemania,303.44,2018,1,89.26
34,Andorra,304.1,2022,1,82.18
35,Andorra,242.36,2021,4,71.84
36,Andorra,200.38,2021,3,65.79
37,Andorra,192.73,2021,2,85.31
38,Andorra,187.38,2021,1,67.11
39,Andorra,180.72,2020,4,74.32
40,Andorra,161.3,2020,3,57.3
41,Andorra,.,2020,2,.
42,Andorra,263.61,2020,1,75.2
43,Andorra,302.67,2019,4,83.03
44,Andorra,262.24,2019,3,69.81
45,Andorra,264.1,2019,2,85.05
46,Andorra,203.79,2019,1,78.43
47,Andorra,259.73,2018,4,83.52
48,Andorra,257.49,2018,3,61.12
49,Andorra,285.91,2018,2,86.78
50,Andorra,302.21,2018,1,83.02
51,Austria,163.73,2022,1,44.62
52,Austria,182.59,2021,4,53.19
53,Austria,178.93,2021,3,58.04
54,Austria,153.51,2021,2,67.58
55,Austria,129.75,2021,1,47.37
56,Austria,160.55,2020,4,65.22
57,Austria,166.57,2020,3,60.05
58,Austria,.,2020,2,.
59,Austria,235.3,2020,1,69.5
60,Austria,337.5,2019,4,90.14
