,destination,come_from,H_travellers,H_nights,H_avg_stay,R_travellers,R_nights,R_avg_stay,year,month
0,Costa da Morte (A Coruña),All,2911,5395,1.9,..,..,..,1999,Jan
1,Costa da Morte (A Coruña),All,3051,5712,1.9,..,..,..,1999,Feb
2,Costa da Morte (A Coruña),All,4581,10962,2.4,..,..,..,1999,Mar
3,Costa da Morte (A Coruña),All,5093,10433,2.1,..,..,..,1999,Apr
4,Costa da Morte (A Coruña),All,5577,10943,2,..,..,..,1999,May
5,Costa da Morte (A Coruña),All,6185,12099,2,..,..,..,1999,Jun
6,Costa da Morte (A Coruña),All,8489,15734,1.9,..,..,..,1999,Jul
7,Costa da Morte (A Coruña),All,11942,26402,2.2,..,..,..,1999,Aug
8,Costa da Morte (A Coruña),All,10611,19499,1.8,..,..,..,1999,Sep
9,Costa da Morte (A Coruña),All,7055,13233,1.9,..,..,..,1999,Oct
10,Costa da Morte (A Coruña),All,4353,9812,2.3,..,..,..,1999,Nov
11,Costa da Morte (A Coruña),All,3622,5960,1.7,..,..,..,1999,Dec
12,Costa da Morte (A Coruña),All,2466,4138,1.7,..,..,..,2000,Jan
13,Costa da Morte (A Coruña),All,2786,7428,2.7,..,..,..,2000,Feb
14,Costa da Morte (A Coruña),All,2806,7374,2.6,..,..,..,2000,Mar
15,Costa da Morte (A Coruña),All,5543,9810,1.8,..,..,..,2000,Apr
16,Costa da Morte (A Coruña),All,3766,8699,2.3,..,..,..,2000,May
17,Costa da Morte (A Coruña),All,4872,11026,2.3,..,..,..,2000,Jun
18,Costa da Morte (A Coruña),All,7703,16076,2.1,..,..,..,2000,Jul
19,Costa da Morte (A Coruña),All,18758,35727,1.9,..,..,..,2000,Aug
20,Costa da Morte (A Coruña),All,5386,11037,2.1,..,..,..,2000,Sep
21,Costa da Morte (A Coruña),All,3878,9369,2.4,..,..,..,2000,Oct
22,Costa da Morte (A Coruña),All,3083,6219,2,..,..,..,2000,Nov
23,Costa da Morte (A Coruña),All,2392,6926,2.9,..,..,..,2000,Dec
24,Costa da Morte (A Coruña),All,2535,3936,1.6,..,..,..,2001,Jan
25,Costa da Morte (A Coruña),All,2535,6767,2.7,..,..,..,2001,Feb
26,Costa da Morte (A Coruña),All,2487,7345,3,..,..,..,2001,Mar
27,Costa da Morte (A Coruña),All,3910,7891,2,..,..,..,2001,Apr
28,Costa da Morte (A Coruña),All,3277,8562,2.6,..,..,..,2001,May
29,Costa da Morte (A Coruña),All,3263,8748,2.7,..,..,..,2001,Jun
30,Costa da Morte (A Coruña),All,6059,13988,2.3,..,..,..,2001,Jul
31,Costa da Morte (A Coruña),All,14038,26562,1.9,..,..,..,2001,Aug
32,Costa da Morte (A Coruña),All,3655,8823,2.4,..,..,..,2001,Sep
33,Costa da Morte (A Coruña),All,3588,7465,2.1,..,..,..,2001,Oct
34,Costa da Morte (A Coruña),All,2440,6823,2.8,..,..,..,2001,Nov
35,Costa da Morte (A Coruña),All,3090,6272,2,..,..,..,2001,Dec
36,Costa da Morte (A Coruña),All,2140,2768,1.3,..,..,..,2002,Jan
37,Costa da Morte (A Coruña),All,2191,5641,2.6,..,..,..,2002,Feb
38,Costa da Morte (A Coruña),All,6061,11409,1.9,..,..,..,2002,Mar
39,Costa da Morte (A Coruña),All,2516,5700,2.3,..,..,..,2002,Apr
40,Costa da Morte (A Coruña),All,3203,7866,2.5,..,..,..,2002,May
41,Costa da Morte (A Coruña),All,3870,10016,2.6,..,..,..,2002,Jun
42,Costa da Morte (A Coruña),All,7908,14517,1.8,..,..,..,2002,Jul
43,Costa da Morte (A Coruña),All,20765,36195,1.7,..,..,..,2002,Aug
44,Costa da Morte (A Coruña),All,5859,11695,2,..,..,..,2002,Sep
45,Costa da Morte (A Coruña),All,4042,8766,2.2,..,..,..,2002,Oct
46,Costa da Morte (A Coruña),All,3976,9669,2.4,..,..,..,2002,Nov
47,Costa da Morte (A Coruña),All,4809,11009,2.3,..,..,..,2002,Dec
48,Costa da Morte (A Coruña),All,4402,8223,1.9,..,..,..,2003,Jan
49,Costa da Morte (A Coruña),All,3757,7894,2.1,..,..,..,2003,Feb
50,Costa da Morte (A Coruña),All,3949,11262,2.9,..,..,..,2003,Mar
51,Costa da Morte (A Coruña),All,4854,11952,2.5,..,..,..,2003,Apr
52,Costa da Morte (A Coruña),All,5666,12238,2.2,..,..,..,2003,May
53,Costa da Morte (A Coruña),All,6251,14618,2.3,..,..,..,2003,Jun
54,Costa da Morte (A Coruña),All,7988,19170,2.4,..,..,..,2003,Jul
55,Costa da Morte (A Coruña),All,16159,32642,2,..,..,..,2003,Aug
56,Costa da Morte (A Coruña),All,9884,22705,2.3,..,..,..,2003,Sep
57,Costa da Morte (A Coruña),All,5637,13055,2.3,..,..,..,2003,Oct
58,Costa da Morte (A Coruña),All,4582,11724,2.6,..,..,..,2003,Nov
59,Costa da Morte (A Coruña),All,4577,10242,2.2,..,..,..,2003,Dec
60,Costa da Morte (A Coruña),All,3483,6337,1.8,..,..,..,2004,Jan
61,Costa da Morte (A Coruña),All,4060,9520,2.3,..,..,..,2004,Feb
62,Costa da Morte (A Coruña),All,5567,12091,2.2,..,..,..,2004,Mar
63,Costa da Morte (A Coruña),All,7218,13405,1.9,..,..,..,2004,Apr
64,Costa da Morte (A Coruña),All,6536,14509,2.2,..,..,..,2004,May
65,Costa da Morte (A Coruña),All,7031,13884,2,..,..,..,2004,Jun
66,Costa da Morte (A Coruña),All,12150,23733,2,..,..,..,2004,Jul
67,Costa da Morte (A Coruña),All,21244,41437,1.9,..,..,..,2004,Aug
68,Costa da Morte (A Coruña),All,8068,15547,2,..,..,..,2004,Sep
69,Costa da Morte (A Coruña),All,6326,16258,2.5,..,..,..,2004,Oct
70,Costa da Morte (A Coruña),All,4531,10791,2.4,..,..,..,2004,Nov
71,Costa da Morte (A Coruña),All,5040,9671,2.3,..,..,..,2004,Dec
72,Costa da Morte (A Coruña),All,3357,5799,1.7,..,..,..,2005,Jan
73,Costa da Morte (A Coruña),All,4151,8852,2.1,..,..,..,2005,Feb
74,Costa da Morte (A Coruña),All,6163,13484,2.2,..,..,..,2005,Mar
75,Costa da Morte (A Coruña),All,4810,10235,2.1,..,..,..,2005,Apr
76,Costa da Morte (A Coruña),All,6676,14899,2.2,..,..,..,2005,May
77,Costa da Morte (A Coruña),All,6985,13978,2,..,..,..,2005,Jun
78,Costa da Morte (A Coruña),All,12366,21781,1.8,..,..,..,2005,Jul
79,Costa da Morte (A Coruña),All,18288,38232,2.1,..,..,..,2005,Aug
80,Costa da Morte (A Coruña),All,7756,16051,2.1,..,..,..,2005,Sep
81,Costa da Morte (A Coruña),All,5086,11857,2.3,..,..,..,2005,Oct
82,Costa da Morte (A Coruña),All,3953,11309,2.9,..,..,..,2005,Nov
83,Costa da Morte (A Coruña),All,3948,7795,2,..,..,..,2005,Dec
