,accommodation_type,come_from,total,year,month
260,Hotels,Spain,1324693,2022,Aug
261,Hotels,Spain,1041010,2022,Jul
262,Hotels,Spain,621095,2022,Jun
263,Hotels,Spain,509886,2022,May
264,Hotels,Spain,520912,2022,Apr
265,Hotels,Spain,332906,2022,Mar
266,Hotels,Spain,272890,2022,Feb
267,Hotels,Spain,195591,2022,Jan
268,Hotels,Spain,349464,2021,Dec
269,Hotels,Spain,374296,2021,Nov
270,Hotels,Spain,598102,2021,Oct
271,Hotels,Spain,770473,2021,Sep
272,Hotels,Spain,1357260,2021,Aug
273,Hotels,Spain,965649,2021,Jul
274,Hotels,Spain,443180,2021,Jun
275,Hotels,Spain,249610,2021,May
276,Hotels,Spain,174635,2021,Apr
277,Hotels,Spain,159697,2021,Mar
278,Hotels,Spain,88896,2021,Feb
279,Hotels,Spain,96135,2021,Jan
280,Hotels,Spain,110512,2020,Dec
281,Hotels,Spain,113769,2020,Nov
282,Hotels,Spain,243277,2020,Oct
283,Hotels,Spain,373628,2020,Sep
284,Hotels,Spain,837783,2020,Aug
285,Hotels,Spain,552098,2020,Jul
286,Hotels,Spain,105791,2020,Jun
287,Hotels,Spain,15557,2020,May
288,Hotels,Spain,0,2020,Apr
289,Hotels,Spain,147182,2020,Mar
290,Hotels,Spain,317158,2020,Feb
291,Hotels,Spain,278203,2020,Jan
292,Hotels,Spain,392872,2019,Dec
293,Hotels,Spain,412580,2019,Nov
294,Hotels,Spain,558569,2019,Oct
295,Hotels,Spain,711609,2019,Sep
296,Hotels,Spain,1269972,2019,Aug
297,Hotels,Spain,963299,2019,Jul
298,Hotels,Spain,591155,2019,Jun
299,Hotels,Spain,506098,2019,May
300,Hotels,Spain,494636,2019,Apr
301,Hotels,Spain,364653,2019,Mar
302,Hotels,Spain,281245,2019,Feb
303,Hotels,Spain,252961,2019,Jan
304,Hotels,Spain,346662,2018,Dec
305,Hotels,Spain,402090,2018,Nov
306,Hotels,Spain,559412,2018,Oct
307,Hotels,Spain,692979,2018,Sep
308,Hotels,Spain,1210429,2018,Aug
309,Hotels,Spain,914963,2018,Jul
310,Hotels,Spain,577608,2018,Jun
311,Hotels,Spain,447645,2018,May
312,Hotels,Spain,430021,2018,Apr
313,Hotels,Spain,406165,2018,Mar
314,Hotels,Spain,265015,2018,Feb
315,Hotels,Spain,249481,2018,Jan
316,Hotels,Spain,324672,2017,Dec
317,Hotels,Spain,387923,2017,Nov
318,Hotels,Spain,581362,2017,Oct
319,Hotels,Spain,706877,2017,Sep
320,Hotels,Spain,1310118,2017,Aug
321,Hotels,Spain,992971,2017,Jul
322,Hotels,Spain,599923,2017,Jun
323,Hotels,Spain,436823,2017,May
324,Hotels,Spain,533094,2017,Apr
325,Hotels,Spain,336761,2017,Mar
326,Hotels,Spain,259619,2017,Feb
327,Hotels,Spain,233001,2017,Jan
328,Hotels,Spain,303058,2016,Dec
329,Hotels,Spain,351473,2016,Nov
330,Hotels,Spain,561319,2016,Oct
331,Hotels,Spain,684870,2016,Sep
332,Hotels,Spain,1230387,2016,Aug
333,Hotels,Spain,960151,2016,Jul
334,Hotels,Spain,543736,2016,Jun
335,Hotels,Spain,410466,2016,May
336,Hotels,Spain,349550,2016,Apr
337,Hotels,Spain,417791,2016,Mar
338,Hotels,Spain,272258,2016,Feb
339,Hotels,Spain,222392,2016,Jan
340,Hotels,Spain,279375,2015,Dec
341,Hotels,Spain,307200,2015,Nov
342,Hotels,Spain,509317,2015,Oct
343,Hotels,Spain,628930,2015,Sep
344,Hotels,Spain,1169976,2015,Aug
345,Hotels,Spain,849171,2015,Jul
346,Hotels,Spain,520565,2015,Jun
347,Hotels,Spain,419383,2015,May
348,Hotels,Spain,410119,2015,Apr
349,Hotels,Spain,334757,2015,Mar
350,Hotels,Spain,234776,2015,Feb
351,Hotels,Spain,204728,2015,Jan
352,Hotels,Spain,263534,2014,Dec
353,Hotels,Spain,322387,2014,Nov
354,Hotels,Spain,481055,2014,Oct
355,Hotels,Spain,606072,2014,Sep
356,Hotels,Spain,1098939,2014,Aug
357,Hotels,Spain,735697,2014,Jul
358,Hotels,Spain,471734,2014,Jun
359,Hotels,Spain,404494,2014,May
360,Hotels,Spain,390314,2014,Apr
361,Hotels,Spain,294933,2014,Mar
362,Hotels,Spain,233365,2014,Feb
363,Hotels,Spain,207573,2014,Jan
364,Hotels,Spain,269797,2013,Dec
365,Hotels,Spain,329959,2013,Nov
366,Hotels,Spain,432806,2013,Oct
367,Hotels,Spain,578187,2013,Sep
368,Hotels,Spain,1066191,2013,Aug
369,Hotels,Spain,723996,2013,Jul
370,Hotels,Spain,435853,2013,Jun
371,Hotels,Spain,396529,2013,May
372,Hotels,Spain,317087,2013,Apr
373,Hotels,Spain,347558,2013,Mar
374,Hotels,Spain,231179,2013,Feb
375,Hotels,Spain,215028,2013,Jan
376,Hotels,Spain,252890,2012,Dec
377,Hotels,Spain,322244,2012,Nov
378,Hotels,Spain,467711,2012,Oct
379,Hotels,Spain,548205,2012,Sep
380,Hotels,Spain,990617,2012,Aug
381,Hotels,Spain,700690,2012,Jul
382,Hotels,Spain,466852,2012,Jun
383,Hotels,Spain,385255,2012,May
384,Hotels,Spain,418134,2012,Apr
385,Hotels,Spain,314351,2012,Mar
386,Hotels,Spain,249599,2012,Feb
387,Hotels,Spain,212237,2012,Jan
388,Hotels,Spain,284170,2011,Dec
389,Hotels,Spain,326234,2011,Nov
390,Hotels,Spain,517250,2011,Oct
391,Hotels,Spain,623876,2011,Sep
392,Hotels,Spain,1030532,2011,Aug
393,Hotels,Spain,828596,2011,Jul
394,Hotels,Spain,527578,2011,Jun
395,Hotels,Spain,444578,2011,May
396,Hotels,Spain,477139,2011,Apr
397,Hotels,Spain,329759,2011,Mar
398,Hotels,Spain,257635,2011,Feb
399,Hotels,Spain,221052,2011,Jan
400,Hotels,Spain,333406,2010,Dec
401,Hotels,Spain,392694,2010,Nov
402,Hotels,Spain,640473,2010,Oct
403,Hotels,Spain,755947,2010,Sep
404,Hotels,Spain,1153831,2010,Aug
405,Hotels,Spain,858602,2010,Jul
406,Hotels,Spain,639584,2010,Jun
407,Hotels,Spain,558830,2010,May
408,Hotels,Spain,531445,2010,Apr
409,Hotels,Spain,409948,2010,Mar
410,Hotels,Spain,287530,2010,Feb
411,Hotels,Spain,245674,2010,Jan
412,Hotels,Spain,313126,2009,Dec
413,Hotels,Spain,364689,2009,Nov
414,Hotels,Spain,563570,2009,Oct
