,destination,come_from,H_travellers,H_nights,H_avg_stay,R_travellers,R_nights,R_avg_stay,year,month
0,Spain,All,2775738.0,10406167.0,3.8,..,..,..,1999,Jan
1,Spain,All,3205892.0,11451100.0,3.6,..,..,..,1999,Feb
2,Spain,All,4143343.0,14212113.0,3.4,..,..,..,1999,Mar
3,Spain,All,4931385.0,17472798.0,3.5,..,..,..,1999,Apr
4,Spain,All,5724555.0,21966528.0,3.8,..,..,..,1999,May
5,Spain,All,5834331.0,24313223.0,4.2,..,..,..,1999,Jun
6,Spain,All,6415298.0,28531434.0,4.5,..,..,..,1999,Jul
7,Spain,All,6986211.0,31967269.0,4.6,..,..,..,1999,Aug
8,Spain,All,6349504.0,26750512.0,4.2,..,..,..,1999,Sep
9,Spain,All,5447890.0,21402806.0,3.9,..,..,..,1999,Oct
10,Spain,All,3570715.0,11875758.0,3.3,..,..,..,1999,Nov
11,Spain,All,3204082.0,10189931.0,3.2,..,..,..,1999,Dec
12,Spain,All,2808737.0,9828017.0,3.5,..,..,..,2000,Jan
13,Spain,All,3390877.0,11453033.0,3.4,..,..,..,2000,Feb
14,Spain,All,4244207.0,14537790.0,3.4,..,..,..,2000,Mar
15,Spain,All,5335325.0,18006005.0,3.4,..,..,..,2000,Apr
16,Spain,All,5592100.0,20998662.0,3.8,..,..,..,2000,May
17,Spain,All,5806706.0,24084087.0,4.2,..,..,..,2000,Jun
18,Spain,All,6374389.0,28181545.0,4.4,..,..,..,2000,Jul
19,Spain,All,6994683.0,31282474.0,4.5,..,..,..,2000,Aug
20,Spain,All,6327590.0,26175432.0,4.1,..,..,..,2000,Sep
21,Spain,All,5368961.0,20400125.0,3.8,..,..,..,2000,Oct
22,Spain,All,3691092.0,11871141.0,3.2,..,..,..,2000,Nov
23,Spain,All,3347855.0,10325261.0,3.1,..,..,..,2000,Dec
24,Spain,All,3004915.0,10132886.0,3.4,46422,115986,2.5,2001,Jan
25,Spain,All,3518883.0,11753586.0,3.3,62848,139688,2.2,2001,Feb
26,Spain,All,4333254.0,14516657.0,3.4,76160,162562,2.1,2001,Mar
27,Spain,All,5384678.0,18085751.0,3.4,125897,373464,3,2001,Apr
28,Spain,All,5673119.0,21063744.0,3.7,76959,175038,2.3,2001,May
29,Spain,All,5914352.0,23896573.0,4,95746,222130,2.3,2001,Jun
30,Spain,All,6405959.0,28657024.0,4.5,134634,500619,3.7,2001,Jul
31,Spain,All,7179051.0,32004309.0,4.5,177627,847639,4.8,2001,Aug
32,Spain,All,6307038.0,26584837.0,4.2,108424,319444,3,2001,Sep
33,Spain,All,5310403.0,20014768.0,3.8,114999,288108,2.5,2001,Oct
34,Spain,All,3657828.0,11920037.0,3.3,84496,216711,2.6,2001,Nov
35,Spain,All,3214821.0,10051397.0,3.1,106678,299426,2.8,2001,Dec
36,Spain,All,2873435.0,9797644.0,3.4,49691,123167,2.5,2002,Jan
37,Spain,All,3507891.0,11501625.0,3.3,75763,164753,2.2,2002,Feb
38,Spain,All,4756621.0,15746849.0,3.3,130136,375077,2.9,2002,Mar
39,Spain,All,4853120.0,15757341.0,3.3,94730,232604,2.5,2002,Apr
40,Spain,All,5677357.0,20427391.0,3.6,106965,263528,2.5,2002,May
41,Spain,All,5725690.0,22781459.0,4,102427,254967,2.5,2002,Jun
42,Spain,All,6407711.0,27712422.0,4.3,147928,534160,3.6,2002,Jul
43,Spain,All,7383775.0,32147463.0,4.4,206494,984650,4.8,2002,Aug
44,Spain,All,6224753.0,25483036.0,4.1,117975,353366,3,2002,Sep
45,Spain,All,5360250.0,19395671.0,3.6,123334,277423,2.3,2002,Oct
46,Spain,All,3714810.0,11536070.0,3.1,99925,225739,2.3,2002,Nov
47,Spain,All,3383399.0,10267810.0,3,99925,225739,2.3,2002,Dec
48,Spain,All,2971006.0,10088783.0,3.4,54110,141732,2.6,2003,Jan
49,Spain,All,3463674.0,11135676.0,3.2,80967,160093,2,2003,Feb
50,Spain,All,4421552.0,14414114.0,3.3,101447,232684,2.3,2003,Mar
51,Spain,All,5408500.0,17483719.0,3.2,145878,435674,3,2003,Apr
52,Spain,All,5984961.0,20977540.0,3.5,108089,303225,2.8,2003,May
53,Spain,All,6276681.0,24047255.0,3.8,113783,289836,2.6,2003,Jun
54,Spain,All,6795963.0,28557092.0,4.2,157410,559568,3.6,2003,Jul
55,Spain,All,7697588.0,33851008.0,4.4,212027,1065490,5,2003,Aug
56,Spain,All,6517598.0,25943815.0,4,129209,392890,3,2003,Sep
57,Spain,All,5537248.0,19635547.0,3.6,126940,304257,2.4,2003,Oct
58,Spain,All,3868099.0,11600240.0,3,101588,230290,2.3,2003,Nov
59,Spain,All,3588510.0,10426118.0,2.9,136091,360401,2.7,2003,Dec
60,Spain,All,3153660.0,10404685.0,3.3,70888,207860,2.9,2004,Jan
61,Spain,All,3970007.0,12278676.0,3.1,104311,235251,2.3,2004,Feb
62,Spain,All,4735606.0,14731784.0,3.1,125820,306453,2.4,2004,Mar
63,Spain,All,5591761.0,17537681.0,3.1,173667,504297,2.9,2004,Apr
64,Spain,All,6211439.0,20624722.0,3.3,131611,316659,2.4,2004,May
65,Spain,All,6525030.0,23776940.0,3.6,141044,372638,2.6,2004,Jun
66,Spain,All,7232976.0,29131986.0,4,177598,678120,3.8,2004,Jul
67,Spain,All,8174422.0,34472302.0,4.2,241982,1235149,5.1,2004,Aug
68,Spain,All,6996313.0,26878757.0,3.8,145567,441509,3,2004,Sep
69,Spain,All,6227271.0,21180295.0,3.4,178811,474258,2.7,2004,Oct
70,Spain,All,4135114.0,12294550.0,3,114569,261078,2.3,2004,Nov
71,Spain,All,3877669.0,11384786.0,2.9,148492,459242,3.1,2004,Dec
72,Spain,All,3356718.0,11088055.0,3.3,72998,203021,2.8,2005,Jan
73,Spain,All,4048915.0,12430710.0,3.1,97276,243538,2.5,2005,Feb
74,Spain,All,5247632.0,16184767.0,3.1,173660,535996,3.1,2005,Mar
75,Spain,All,5516765.0,16480644.0,3,147890,334528,2.3,2005,Apr
76,Spain,All,6737689.0,22318874.0,3.3,154735,407305,2.6,2005,May
77,Spain,All,6971240.0,25042689.0,3.6,155529,413801,2.7,2005,Jun
78,Spain,All,7795374.0,31022067.0,4,222874,866386,3.9,2005,Jul
79,Spain,All,8555081.0,35857571.0,4.2,289427,1481363,5.1,2005,Aug
80,Spain,All,7442751.0,28313666.0,3.8,176158,534053,3,2005,Sep
81,Spain,All,6414668.0,22163277.0,3.5,181908,494517,2.7,2005,Oct
82,Spain,All,4511989.0,13162420.0,2.9,132961,309213,2.3,2005,Nov
83,Spain,All,4030203.0,11572418.0,2.9,177485,482609,2.7,2005,Dec
84,Spain,All,4004676.0,12075662.0,3,97041,259528,2.7,2006,Jan
85,Spain,All,4709293.0,13221070.0,2.8,123643,296160,2.4,2006,Feb
86,Spain,All,5763835.0,16370344.0,2.8,161105,388247,2.4,2006,Mar
87,Spain,All,7293282.0,21185887.0,2.9,268905,789513,2.9,2006,Apr
88,Spain,All,7591789.0,23734897.0,3.1,172436,431594,2.5,2006,May
89,Spain,All,8156578.0,27996368.0,3.4,187891,469463,2.5,2006,Jun
90,Spain,All,9057841.0,34105558.0,3.8,254647,933653,3.7,2006,Jul
91,Spain,All,9713364.0,37636214.0,3.9,333524,1647277,4.9,2006,Aug
92,Spain,All,8420366.0,29918731.0,3.6,207324,601761,2.9,2006,Sep
93,Spain,All,7357196.0,23372257.0,3.2,221160,594879,2.7,2006,Oct
94,Spain,All,5114939.0,14269663.0,2.8,165633,378387,2.3,2006,Nov
95,Spain,All,4672741.0,13141207.0,2.8,232119,647920,2.8,2006,Dec
96,Spain,All,4158378.0,12356394.0,3,98344,254032,2.6,2007,Jan
97,Spain,All,4853246.0,13555040.0,2.8,138021,321904,2.3,2007,Feb
98,Spain,All,6151952.0,17428802.0,2.8,185667,423106,2.3,2007,Mar
99,Spain,All,7394418.0,21690169.0,2.9,293189,889476,3,2007,Apr
100,Spain,All,7639348.0,23486608.0,3.1,195204,469856,2.4,2007,May
101,Spain,All,8555535.0,28459008.0,3.3,218557,523882,2.4,2007,Jun
102,Spain,All,9176950.0,34315590.0,3.7,270798,986486,3.6,2007,Jul
103,Spain,All,10025687.0,38132493.0,3.8,363129,1663148,4.6,2007,Aug
104,Spain,All,8621798.0,30142242.0,3.5,217051,618424,2.9,2007,Sep
105,Spain,All,7540505.0,23476804.0,3.1,243478,628529,2.6,2007,Oct
106,Spain,All,5534255.0,15289839.0,2.8,185088,486108,2.6,2007,Nov
107,Spain,All,4771361.0,13356493.0,2.8,236711,673671,2.9,2007,Dec
108,Spain,All,4328480.0,12710146.0,2.9,101802,269168,2.6,2008,Jan
109,Spain,All,5242247.0,14831691.0,2.8,157022,354327,2.3,2008,Feb
110,Spain,All,6614348.0,19216126.0,2.9,238412,749566,3.1,2008,Mar
111,Spain,All,6656665.0,19300764.0,2.9,192375,446425,2.3,2008,Apr
112,Spain,All,8109904.0,25060656.0,3.1,219165,607897,2.8,2008,May
113,Spain,All,8280336.0,27737509.0,3.4,217885,556294,2.6,2008,Jun
114,Spain,All,9219035.0,34559658.0,3.8,275150,991513,3.6,2008,Jul
115,Spain,All,9954774.0,37945216.0,3.8,360216,1702153,4.7,2008,Aug
116,Spain,All,8359855.0,29305643.0,3.5,222309,631022,2.8,2008,Sep
117,Spain,All,7035977.0,22253202.0,3.2,227108,529951,2.3,2008,Oct
118,Spain,All,4870882.0,13685099.0,2.8,180595,396091,2.2,2008,Nov
119,Spain,All,4326374.0,11946130.0,2.8,231312,609517,2.6,2008,Dec
120,Spain,All,3716510.0,11203819.0,3,99435,294596,3,2009,Jan
121,Spain,All,4447323.0,12527991.0,2.8,140059,309801,2.2,2009,Feb
122,Spain,All,5303127.0,15536341.0,2.9,187538,449666,2.4,2009,Mar
123,Spain,All,6542718.0,19591068.0,3,283104,804301,2.8,2009,Apr
124,Spain,All,7378804.0,22661503.0,3.1,225000,542362,2.4,2009,May
125,Spain,All,7630129.0,26082353.0,3.4,213411,540554,2.5,2009,Jun
126,Spain,All,8712905.0,32764251.0,3.8,297731,987814,3.3,2009,Jul
127,Spain,All,9423345.0,36192581.0,3.8,368049,1714810,4.7,2009,Aug
128,Spain,All,7827994.0,27387006.0,3.5,231651,629973,2.7,2009,Sep
129,Spain,All,7011612.0,21752259.0,3.1,255850,630087,2.5,2009,Oct
130,Spain,All,4710822.0,13255271.0,2.8,180707,394622,2.2,2009,Nov
131,Spain,All,4435027.0,12030368.0,2.7,231728,621851,2.7,2009,Dec
132,Spain,All,3767159.0,11308373.0,3,105645,293971,2.8,2010,Jan
