,destination,come_from,total,year,month
1704,A Coruña,Spain,501311,2022,Aug
1705,A Coruña,Spain,395273,2022,Jul
1706,A Coruña,Spain,237193,2022,Jun
1707,A Coruña,Spain,213272,2022,May
1708,A Coruña,Spain,218801,2022,Apr
1709,A Coruña,Spain,154593,2022,Mar
1710,A Coruña,Spain,128646,2022,Feb
1711,A Coruña,Spain,90939,2022,Jan
1712,A Coruña,Spain,145928,2021,Dec
1713,A Coruña,Spain,167841,2021,Nov
1714,A Coruña,Spain,244700,2021,Oct
1715,A Coruña,Spain,309445,2021,Sep
1716,A Coruña,Spain,510744,2021,Aug
1717,A Coruña,Spain,360406,2021,Jul
1718,A Coruña,Spain,176101,2021,Jun
1719,A Coruña,Spain,99685,2021,May
1720,A Coruña,Spain,75244,2021,Apr
1721,A Coruña,Spain,70103,2021,Mar
1722,A Coruña,Spain,40665,2021,Feb
1723,A Coruña,Spain,45653,2021,Jan
1724,A Coruña,Spain,52413,2020,Dec
1725,A Coruña,Spain,50983,2020,Nov
1726,A Coruña,Spain,99197,2020,Oct
1727,A Coruña,Spain,127287,2020,Sep
1728,A Coruña,Spain,282290,2020,Aug
1729,A Coruña,Spain,196948,2020,Jul
1730,A Coruña,Spain,32393,2020,Jun
1731,A Coruña,Spain,5158,2020,May
1732,A Coruña,Spain,0,2020,Apr
1733,A Coruña,Spain,57765,2020,Mar
1734,A Coruña,Spain,145266,2020,Feb
1735,A Coruña,Spain,129023,2020,Jan
1736,A Coruña,Spain,148719,2019,Dec
1737,A Coruña,Spain,161816,2019,Nov
1738,A Coruña,Spain,208173,2019,Oct
1739,A Coruña,Spain,241831,2019,Sep
1740,A Coruña,Spain,438877,2019,Aug
1741,A Coruña,Spain,341356,2019,Jul
1742,A Coruña,Spain,213115,2019,Jun
1743,A Coruña,Spain,205266,2019,May
1744,A Coruña,Spain,190217,2019,Apr
1745,A Coruña,Spain,145861,2019,Mar
1746,A Coruña,Spain,125958,2019,Feb
1747,A Coruña,Spain,111602,2019,Jan
1748,A Coruña,Spain,145967,2018,Dec
1749,A Coruña,Spain,159435,2018,Nov
1750,A Coruña,Spain,198879,2018,Oct
1751,A Coruña,Spain,232065,2018,Sep
1752,A Coruña,Spain,409023,2018,Aug
1753,A Coruña,Spain,331941,2018,Jul
1754,A Coruña,Spain,197600,2018,Jun
1755,A Coruña,Spain,170188,2018,May
1756,A Coruña,Spain,168387,2018,Apr
1757,A Coruña,Spain,159821,2018,Mar
1758,A Coruña,Spain,117828,2018,Feb
1759,A Coruña,Spain,101197,2018,Jan
1760,A Coruña,Spain,136098,2017,Dec
1761,A Coruña,Spain,160019,2017,Nov
1762,A Coruña,Spain,200488,2017,Oct
1763,A Coruña,Spain,239832,2017,Sep
1764,A Coruña,Spain,453863,2017,Aug
1765,A Coruña,Spain,339292,2017,Jul
1766,A Coruña,Spain,212008,2017,Jun
1767,A Coruña,Spain,177134,2017,May
1768,A Coruña,Spain,210235,2017,Apr
1769,A Coruña,Spain,147822,2017,Mar
1770,A Coruña,Spain,114122,2017,Feb
1771,A Coruña,Spain,96859,2017,Jan
1772,A Coruña,Spain,125534,2016,Dec
