,destination,month,year,travellers_Foreing,nights_Foreing,avg_stay_Foreign,travellers_Spain,nights_Spain,avg_stay_Spain,travellers_All,nights_All,avg_stay_All
0,A Coruña,Jan,2005,2303,4729,..,20895,37815,..,23198,42544,1.8
1,A Coruña,Feb,2005,2848,4857,..,24938,41524,..,27786,46381,1.7
2,A Coruña,Mar,2005,3140,4922,..,31503,54421,..,34643,59343,1.7
3,A Coruña,Apr,2005,3437,6315,..,34049,53523,..,37486,59838,1.6
4,A Coruña,May,2005,4055,7587,..,34192,59179,..,38247,66766,1.8
5,A Coruña,Jun,2005,5602,9801,..,34267,64823,..,39869,74624,1.9
6,A Coruña,Jul,2005,7791,13229,..,45763,78031,..,53554,91260,1.7
7,A Coruña,Aug,2005,10238,21417,..,49350,102505,..,59588,123922,2.1
8,A Coruña,Sep,2005,5277,10823,..,38350,65046,..,43627,75869,1.7
9,A Coruña,Oct,2005,4209,7373,..,35416,64004,..,39625,71377,1.8
10,A Coruña,Nov,2005,3856,7384,..,37110,61827,..,40966,69211,1.7
11,A Coruña,Dec,2005,4446,6297,..,28572,48535,..,33018,54832,1.7
12,A Coruña,Jan,2006,2643,5751,..,26108,46043,..,28751,51794,1.8
13,A Coruña,Feb,2006,3065,5399,..,25142,44695,..,28207,50094,1.8
14,A Coruña,Mar,2006,3729,7367,..,29475,51736,..,33204,59103,1.8
15,A Coruña,Apr,2006,4992,8131,..,36984,65142,..,41976,73273,1.8
16,A Coruña,May,2006,4486,8164,..,35148,63246,..,39634,71410,1.8
17,A Coruña,Jun,2006,5005,9381,..,33855,61579,..,38860,70960,1.8
18,A Coruña,Jul,2006,8366,14239,..,36918,74949,..,45284,89188,2
19,A Coruña,Aug,2006,8619,16583,..,44995,101799,..,53614,118382,2.2
20,A Coruña,Sep,2006,6406,12993,..,34301,64560,..,40707,77553,1.9
21,A Coruña,Oct,2006,4141,7647,..,38231,70179,..,42372,77826,1.8
22,A Coruña,Nov,2006,2642,5574,..,25661,51116,..,28303,56690,2
