Comunidades y Ciudades Autónomas de destino	País de residencia	Periodo	Total
Galicia	Total	2022T1	100,00
Galicia	Total	2021T4	100,00
Galicia	Total	2021T3	100,00
Galicia	Total	2021T2	100,00
Galicia	Total	2021T1	100,00
Galicia	Total	2020T4	100,00
Galicia	Total	2020T3	100,00
Galicia	Total	2020T2	.
Galicia	Total	2020T1	100,00
Galicia	Total	2019T4	100,00
Galicia	Total	2019T3	100,00
Galicia	Total	2019T2	100,00
Galicia	Total	2019T1	100,00
Galicia	Total	2018T4	100,00
Galicia	Total	2018T3	100,00
Galicia	Total	2018T2	100,00
Galicia	Total	2018T1	100,00
Galicia	Alemania	2022T1	4,68
Galicia	Alemania	2021T4	6,19
Galicia	Alemania	2021T3	8,06
Galicia	Alemania	2021T2	5,64
Galicia	Alemania	2021T1	4,55
Galicia	Alemania	2020T4	4,44
Galicia	Alemania	2020T3	6,74
Galicia	Alemania	2020T2	.
Galicia	Alemania	2020T1	4,45
Galicia	Alemania	2019T4	6,23
Galicia	Alemania	2019T3	8,05
Galicia	Alemania	2019T2	8,45
Galicia	Alemania	2019T1	4,85
Galicia	Alemania	2018T4	6,23
Galicia	Alemania	2018T3	8,10
Galicia	Alemania	2018T2	8,99
Galicia	Alemania	2018T1	4,57
Galicia	Andorra	2022T1	0,41
Galicia	Andorra	2021T4	0,43
Galicia	Andorra	2021T3	0,63
Galicia	Andorra	2021T2	0,55
Galicia	Andorra	2021T1	0,53
Galicia	Andorra	2020T4	0,52
Galicia	Andorra	2020T3	0,78
Galicia	Andorra	2020T2	.
Galicia	Andorra	2020T1	0,38
Galicia	Andorra	2019T4	0,37
Galicia	Andorra	2019T3	0,41
Galicia	Andorra	2019T2	0,24
Galicia	Andorra	2019T1	0,32
Galicia	Andorra	2018T4	0,35
Galicia	Andorra	2018T3	0,39
Galicia	Andorra	2018T2	0,31
Galicia	Andorra	2018T1	0,36
Galicia	Austria	2022T1	0,38
Galicia	Austria	2021T4	0,57
Galicia	Austria	2021T3	0,72
Galicia	Austria	2021T2	0,46
Galicia	Austria	2021T1	0,36
Galicia	Austria	2020T4	0,52
Galicia	Austria	2020T3	0,51
Galicia	Austria	2020T2	.
Galicia	Austria	2020T1	0,34
Galicia	Austria	2019T4	0,56
Galicia	Austria	2019T3	0,74
Galicia	Austria	2019T2	0,81
Galicia	Austria	2019T1	0,35
Galicia	Austria	2018T4	0,57
Galicia	Austria	2018T3	0,70
Galicia	Austria	2018T2	0,88
Galicia	Austria	2018T1	0,33
Galicia	Bélgica	2022T1	1,33
Galicia	Bélgica	2021T4	1,52
Galicia	Bélgica	2021T3	2,69
Galicia	Bélgica	2021T2	1,28
Galicia	Bélgica	2021T1	1,45
Galicia	Bélgica	2020T4	1,67
Galicia	Bélgica	2020T3	2,61
Galicia	Bélgica	2020T2	.
Galicia	Bélgica	2020T1	1,20
Galicia	Bélgica	2019T4	1,28
Galicia	Bélgica	2019T3	2,21
Galicia	Bélgica	2019T2	1,59
Galicia	Bélgica	2019T1	1,30
Galicia	Bélgica	2018T4	1,45
Galicia	Bélgica	2018T3	2,19
Galicia	Bélgica	2018T2	1,64
Galicia	Bélgica	2018T1	1,36
Galicia	Dinamarca	2022T1	0,29
Galicia	Dinamarca	2021T4	0,53
Galicia	Dinamarca	2021T3	0,64
Galicia	Dinamarca	2021T2	0,37
Galicia	Dinamarca	2021T1	0,35
Galicia	Dinamarca	2020T4	0,27
Galicia	Dinamarca	2020T3	0,35
Galicia	Dinamarca	2020T2	.
Galicia	Dinamarca	2020T1	0,33
Galicia	Dinamarca	2019T4	0,54
Galicia	Dinamarca	2019T3	0,72
Galicia	Dinamarca	2019T2	0,71
Galicia	Dinamarca	2019T1	0,50
Galicia	Dinamarca	2018T4	0,68
Galicia	Dinamarca	2018T3	0,63
Galicia	Dinamarca	2018T2	0,73
Galicia	Dinamarca	2018T1	0,41
Galicia	Finlandia	2022T1	0,19
Galicia	Finlandia	2021T4	0,21
Galicia	Finlandia	2021T3	0,13
Galicia	Finlandia	2021T2	0,16
Galicia	Finlandia	2021T1	0,14
Galicia	Finlandia	2020T4	0,15
Galicia	Finlandia	2020T3	0,14
Galicia	Finlandia	2020T2	.
Galicia	Finlandia	2020T1	0,26
Galicia	Finlandia	2019T4	0,31
Galicia	Finlandia	2019T3	0,22
Galicia	Finlandia	2019T2	0,33
Galicia	Finlandia	2019T1	0,24
Galicia	Finlandia	2018T4	0,30
Galicia	Finlandia	2018T3	0,22
Galicia	Finlandia	2018T2	0,35
Galicia	Finlandia	2018T1	0,26
Galicia	Francia	2022T1	8,41
Galicia	Francia	2021T4	9,27
Galicia	Francia	2021T3	15,30
Galicia	Francia	2021T2	9,75
Galicia	Francia	2021T1	10,26
Galicia	Francia	2020T4	11,03
Galicia	Francia	2020T3	16,62
Galicia	Francia	2020T2	.
Galicia	Francia	2020T1	8,16
Galicia	Francia	2019T4	8,16
Galicia	Francia	2019T3	13,95
Galicia	Francia	2019T2	8,27
Galicia	Francia	2019T1	8,32
Galicia	Francia	2018T4	8,50
Galicia	Francia	2018T3	13,94
Galicia	Francia	2018T2	8,80
Galicia	Francia	2018T1	9,00
Galicia	Irlanda	2022T1	1,99
Galicia	Irlanda	2021T4	2,07
Galicia	Irlanda	2021T3	1,74
Galicia	Irlanda	2021T2	1,90
Galicia	Irlanda	2021T1	2,03
Galicia	Irlanda	2020T4	1,89
Galicia	Irlanda	2020T3	1,47
Galicia	Irlanda	2020T2	.
Galicia	Irlanda	2020T1	1,99
Galicia	Irlanda	2019T4	2,10
Galicia	Irlanda	2019T3	2,11
Galicia	Irlanda	2019T2	2,98
Galicia	Irlanda	2019T1	1,54
Galicia	Irlanda	2018T4	1,42
Galicia	Irlanda	2018T3	1,96
Galicia	Irlanda	2018T2	2,21
Galicia	Irlanda	2018T1	0,87
Galicia	Italia	2022T1	2,92
Galicia	Italia	2021T4	3,36
Galicia	Italia	2021T3	3,52
Galicia	Italia	2021T2	2,52
Galicia	Italia	2021T1	2,45
Galicia	Italia	2020T4	2,64
Galicia	Italia	2020T3	2,83
Galicia	Italia	2020T2	.
Galicia	Italia	2020T1	2,58
Galicia	Italia	2019T4	3,42
Galicia	Italia	2019T3	5,08
Galicia	Italia	2019T2	3,95
Galicia	Italia	2019T1	2,98
Galicia	Italia	2018T4	3,54
Galicia	Italia	2018T3	5,26
Galicia	Italia	2018T2	4,19
Galicia	Italia	2018T1	2,95
Galicia	Noruega	2022T1	0,40
Galicia	Noruega	2021T4	0,42
Galicia	Noruega	2021T3	0,30
Galicia	Noruega	2021T2	0,34
Galicia	Noruega	2021T1	0,48
Galicia	Noruega	2020T4	0,46
Galicia	Noruega	2020T3	0,45
Galicia	Noruega	2020T2	.
Galicia	Noruega	2020T1	0,37
Galicia	Noruega	2019T4	0,50
Galicia	Noruega	2019T3	0,59
Galicia	Noruega	2019T2	0,63
Galicia	Noruega	2019T1	0,59
Galicia	Noruega	2018T4	0,53
Galicia	Noruega	2018T3	0,53
Galicia	Noruega	2018T2	0,59
Galicia	Noruega	2018T1	0,46
Galicia	Países Bajos	2022T1	2,05
Galicia	Países Bajos	2021T4	2,49
Galicia	Países Bajos	2021T3	3,29
Galicia	Países Bajos	2021T2	2,00
Galicia	Países Bajos	2021T1	1,96
Galicia	Países Bajos	2020T4	1,86
Galicia	Países Bajos	2020T3	2,93
Galicia	Países Bajos	2020T2	.
Galicia	Países Bajos	2020T1	1,53
Galicia	Países Bajos	2019T4	2,05
Galicia	Países Bajos	2019T3	2,87
Galicia	Países Bajos	2019T2	2,70
Galicia	Países Bajos	2019T1	1,62
Galicia	Países Bajos	2018T4	1,84
Galicia	Países Bajos	2018T3	2,90
Galicia	Países Bajos	2018T2	2,60
Galicia	Países Bajos	2018T1	1,76
Galicia	Polonia	2022T1	0,55
Galicia	Polonia	2021T4	0,56
Galicia	Polonia	2021T3	0,64
Galicia	Polonia	2021T2	0,54
Galicia	Polonia	2021T1	0,66
Galicia	Polonia	2020T4	0,61
