Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2022M08	2,22
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2022M07	2,12
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2022M06	1,85
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2022M05	1,73
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2022M04	1,80
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2022M03	1,91
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2022M02	1,80
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2022M01	1,86
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M12	1,94
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M11	1,89
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M10	1,87
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M09	2,01
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M08	2,32
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M07	2,17
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M06	1,92
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M05	1,85
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M04	1,91
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M03	2,02
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M02	2,38
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2021M01	2,54
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M12	2,34
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M11	2,50
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M10	1,95
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M09	1,98
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M08	2,32
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M07	2,30
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M06	2,05
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M05	3,61
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M04	0,00
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M03	2,03
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M02	1,88
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2020M01	1,88
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2019M12	1,92
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2019M11	2,07
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2019M10	1,91
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2019M09	1,96
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2019M08	2,36
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2019M07	2,26
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2019M06	1,90
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	2019M05	1,80
