Comunidades y Ciudades Autónomas de destino	País de residencia	Periodo	Total
Galicia	Total	2022T1	62,89
Galicia	Total	2021T4	60,52
Galicia	Total	2021T3	62,68
Galicia	Total	2021T2	74,95
Galicia	Total	2021T1	52,71
Galicia	Total	2020T4	61,61
Galicia	Total	2020T3	54,27
Galicia	Total	2020T2	.
Galicia	Total	2020T1	66,10
Galicia	Total	2019T4	73,50
Galicia	Total	2019T3	70,77
Galicia	Total	2019T2	81,76
Galicia	Total	2019T1	62,23
Galicia	Total	2018T4	71,86
Galicia	Total	2018T3	64,88
Galicia	Total	2018T2	75,19
Galicia	Total	2018T1	73,06
Galicia	Alemania	2022T1	54,36
Galicia	Alemania	2021T4	57,08
Galicia	Alemania	2021T3	66,91
Galicia	Alemania	2021T2	75,35
Galicia	Alemania	2021T1	53,29
Galicia	Alemania	2020T4	62,96
Galicia	Alemania	2020T3	60,82
Galicia	Alemania	2020T2	.
Galicia	Alemania	2020T1	75,52
Galicia	Alemania	2019T4	86,70
Galicia	Alemania	2019T3	89,42
Galicia	Alemania	2019T2	107,73
Galicia	Alemania	2019T1	81,73
Galicia	Alemania	2018T4	87,55
Galicia	Alemania	2018T3	82,30
Galicia	Alemania	2018T2	100,44
Galicia	Alemania	2018T1	89,26
Galicia	Andorra	2022T1	82,18
Galicia	Andorra	2021T4	71,84
Galicia	Andorra	2021T3	65,79
Galicia	Andorra	2021T2	85,31
Galicia	Andorra	2021T1	67,11
Galicia	Andorra	2020T4	74,32
Galicia	Andorra	2020T3	57,30
Galicia	Andorra	2020T2	.
Galicia	Andorra	2020T1	75,20
Galicia	Andorra	2019T4	83,03
Galicia	Andorra	2019T3	69,81
Galicia	Andorra	2019T2	85,05
Galicia	Andorra	2019T1	78,43
Galicia	Andorra	2018T4	83,52
Galicia	Andorra	2018T3	61,12
Galicia	Andorra	2018T2	86,78
Galicia	Andorra	2018T1	83,02
Galicia	Austria	2022T1	44,62
Galicia	Austria	2021T4	53,19
Galicia	Austria	2021T3	58,04
Galicia	Austria	2021T2	67,58
Galicia	Austria	2021T1	47,37
Galicia	Austria	2020T4	65,22
Galicia	Austria	2020T3	60,05
Galicia	Austria	2020T2	.
Galicia	Austria	2020T1	69,50
Galicia	Austria	2019T4	90,14
Galicia	Austria	2019T3	89,28
Galicia	Austria	2019T2	107,27
Galicia	Austria	2019T1	68,07
Galicia	Austria	2018T4	93,49
Galicia	Austria	2018T3	80,73
