Comunidades y Ciudades Autónomas de destino	País de residencia	Periodo	Total
Galicia	Total	2022T1	231,65
Galicia	Total	2021T4	210,19
Galicia	Total	2021T3	192,70
Galicia	Total	2021T2	170,22
Galicia	Total	2021T1	146,59
Galicia	Total	2020T4	148,16
Galicia	Total	2020T3	151,12
Galicia	Total	2020T2	.
Galicia	Total	2020T1	229,08
Galicia	Total	2019T4	270,91
Galicia	Total	2019T3	263,96
Galicia	Total	2019T2	255,24
Galicia	Total	2019T1	160,63
Galicia	Total	2018T4	225,64
Galicia	Total	2018T3	274,46
Galicia	Total	2018T2	248,21
Galicia	Total	2018T1	262,17
Galicia	Alemania	2022T1	194,03
Galicia	Alemania	2021T4	195,54
Galicia	Alemania	2021T3	206,77
Galicia	Alemania	2021T2	171,47
Galicia	Alemania	2021T1	148,39
Galicia	Alemania	2020T4	153,38
Galicia	Alemania	2020T3	170,31
Galicia	Alemania	2020T2	.
Galicia	Alemania	2020T1	262,67
Galicia	Alemania	2019T4	324,31
Galicia	Alemania	2019T3	332,61
Galicia	Alemania	2019T2	338,24
Galicia	Alemania	2019T1	210,19
Galicia	Alemania	2018T4	284,09
Galicia	Alemania	2018T3	349,43
Galicia	Alemania	2018T2	332,96
Galicia	Alemania	2018T1	303,44
Galicia	Andorra	2022T1	304,10
Galicia	Andorra	2021T4	242,36
Galicia	Andorra	2021T3	200,38
Galicia	Andorra	2021T2	192,73
Galicia	Andorra	2021T1	187,38
Galicia	Andorra	2020T4	180,72
Galicia	Andorra	2020T3	161,30
Galicia	Andorra	2020T2	.
Galicia	Andorra	2020T1	263,61
Galicia	Andorra	2019T4	302,67
Galicia	Andorra	2019T3	262,24
Galicia	Andorra	2019T2	264,10
Galicia	Andorra	2019T1	203,79
Galicia	Andorra	2018T4	259,73
Galicia	Andorra	2018T3	257,49
Galicia	Andorra	2018T2	285,91
Galicia	Andorra	2018T1	302,21
Galicia	Austria	2022T1	163,73
Galicia	Austria	2021T4	182,59
Galicia	Austria	2021T3	178,93
Galicia	Austria	2021T2	153,51
Galicia	Austria	2021T1	129,75
Galicia	Austria	2020T4	160,55
Galicia	Austria	2020T3	166,57
Galicia	Austria	2020T2	.
Galicia	Austria	2020T1	235,30
Galicia	Austria	2019T4	337,50
Galicia	Austria	2019T3	332,28
Galicia	Austria	2019T2	336,32
Galicia	Austria	2019T1	175,32
Galicia	Austria	2018T4	301,55
Galicia	Austria	2018T3	342,96
Galicia	Austria	2018T2	352,88
Galicia	Austria	2018T1	276,63
Galicia	Bélgica	2022T1	196,90
Galicia	Bélgica	2021T4	187,70
Galicia	Bélgica	2021T3	187,70
Galicia	Bélgica	2021T2	152,85
Galicia	Bélgica	2021T1	143,41
Galicia	Bélgica	2020T4	153,80
Galicia	Bélgica	2020T3	155,73
Galicia	Bélgica	2020T2	.
Galicia	Bélgica	2020T1	220,06
Galicia	Bélgica	2019T4	259,39
Galicia	Bélgica	2019T3	273,99
Galicia	Bélgica	2019T2	268,08
Galicia	Bélgica	2019T1	171,93
Galicia	Bélgica	2018T4	242,19
Galicia	Bélgica	2018T3	279,91
Galicia	Bélgica	2018T2	262,90
Galicia	Bélgica	2018T1	283,35
Galicia	Dinamarca	2022T1	139,95
Galicia	Dinamarca	2021T4	149,16
Galicia	Dinamarca	2021T3	149,91
Galicia	Dinamarca	2021T2	129,29
Galicia	Dinamarca	2021T1	87,06
Galicia	Dinamarca	2020T4	106,69
Galicia	Dinamarca	2020T3	127,83
Galicia	Dinamarca	2020T2	.
Galicia	Dinamarca	2020T1	187,21
Galicia	Dinamarca	2019T4	237,65
Galicia	Dinamarca	2019T3	224,83
Galicia	Dinamarca	2019T2	215,18
Galicia	Dinamarca	2019T1	143,38
Galicia	Dinamarca	2018T4	210,34
Galicia	Dinamarca	2018T3	231,08
Galicia	Dinamarca	2018T2	224,08
Galicia	Dinamarca	2018T1	215,95
Galicia	Finlandia	2022T1	129,51
Galicia	Finlandia	2021T4	147,80
Galicia	Finlandia	2021T3	130,86
Galicia	Finlandia	2021T2	119,68
Galicia	Finlandia	2021T1	85,67
Galicia	Finlandia	2020T4	69,24
Galicia	Finlandia	2020T3	88,14
Galicia	Finlandia	2020T2	.
Galicia	Finlandia	2020T1	155,88
Galicia	Finlandia	2019T4	201,94
Galicia	Finlandia	2019T3	192,14
Galicia	Finlandia	2019T2	193,99
Galicia	Finlandia	2019T1	109,82
Galicia	Finlandia	2018T4	177,77
Galicia	Finlandia	2018T3	206,05
Galicia	Finlandia	2018T2	197,20
Galicia	Finlandia	2018T1	175,10
Galicia	Francia	2022T1	208,62
Galicia	Francia	2021T4	192,53
Galicia	Francia	2021T3	178,35
Galicia	Francia	2021T2	149,21
Galicia	Francia	2021T1	135,45
Galicia	Francia	2020T4	137,09
Galicia	Francia	2020T3	149,46
Galicia	Francia	2020T2	.
Galicia	Francia	2020T1	211,62
Galicia	Francia	2019T4	249,94
Galicia	Francia	2019T3	235,69
Galicia	Francia	2019T2	227,89
Galicia	Francia	2019T1	140,41
Galicia	Francia	2018T4	197,11
Galicia	Francia	2018T3	233,65
Galicia	Francia	2018T2	211,07
Galicia	Francia	2018T1	218,64
Galicia	Irlanda	2022T1	146,22
Galicia	Irlanda	2021T4	150,80
Galicia	Irlanda	2021T3	147,81
Galicia	Irlanda	2021T2	95,11
Galicia	Irlanda	2021T1	76,65
Galicia	Irlanda	2020T4	78,02
Galicia	Irlanda	2020T3	98,51
Galicia	Irlanda	2020T2	.
Galicia	Irlanda	2020T1	137,05
Galicia	Irlanda	2019T4	195,10
Galicia	Irlanda	2019T3	249,75
Galicia	Irlanda	2019T2	233,56
Galicia	Irlanda	2019T1	108,78
Galicia	Irlanda	2018T4	201,10
Galicia	Irlanda	2018T3	296,43
Galicia	Irlanda	2018T2	258,85
Galicia	Irlanda	2018T1	226,00
Galicia	Italia	2022T1	125,77
Galicia	Italia	2021T4	126,46
Galicia	Italia	2021T3	125,84
Galicia	Italia	2021T2	104,03
Galicia	Italia	2021T1	96,76
