"Viaxeiros, noites e estadía media por procedencia e tipo de aloxamento. España e Galicia. Datos mensuais"
"Número, días"


;;;;;;;
;España;;;Galicia;;;
;"Viaxeiros";"Noites";"Estadía media";"Viaxeiros";"Noites";"Estadía media";
"Todas as procedencias"
"Establecementos hoteleiros"
"2001/Xaneiro";3004915;10132886;3,4;112149;243320;2,2
"2001/Febreiro";3518883;11753586;3,3;131003;269836;2,1
"2001/Marzo";4333254;14516657;3,4;153081;333034;2,2
"2001/Abril";5384678;18085751;3,4;192698;432250;2,2
"2001/Maio";5673119;21063744;3,7;190637;415208;2,2
"2001/Xuño";5914352;23896573;4;223705;492633;2,2
"2001/Xullo";6405959;28657024;4,5;298884;749927;2,5
"2001/Agosto";7179051;32004309;4,5;427613;1156687;2,7
"2001/Setembro";6307038;26584837;4,2;268462;630954;2,4
"2001/Outubro";5310403;20014768;3,8;217515;482315;2,2
"2001/Novembro";3657828;11920037;3,3;161423;346905;2,2
"2001/Decembro";3214821;10051397;3,1;142827;298509;2,1
"2002/Xaneiro";2873435;9797644;3,4;108183;222059;2,1
"2002/Febreiro";3507891;11501625;3,3;131176;280931;2,1
"2002/Marzo";4756621;15746849;3,3;191192;443540;2,3
"2002/Abril";4853120;15757341;3,3;184244;421468;2,3
"2002/Maio";5677357;20427391;3,6;205784;476556;2,3
"2002/Xuño";5725690;22781459;4;230917;536688;2,3
"2002/Xullo";6407711;27712422;4,3;308475;786138;2,6
"2002/Agosto";7383775;32147463;4,4;456479;1212446;2,7
"2002/Setembro";6224753;25483036;4,1;269226;654173;2,4
"2002/Outubro";5360250;19395671;3,6;223860;534390;2,4
"2002/Novembro";3714810;11536070;3,1;156617;374867;2,4
"2002/Decembro";3383399;10267810;3;146300;320322;2,2
"2003/Xaneiro";2971006;10088783;3,4;137871;280901;2
"2003/Febreiro";3463674;11135676;3,2;139395;282281;2
"2003/Marzo";4421552;14414114;3,3;180307;359477;2
"2003/Abril";5408500;17483719;3,2;224575;442799;2
"2003/Maio";5984961;20977540;3,5;248741;497162;2
"2003/Xuño";6276681;24047255;3,8;278545;566649;2
"2003/Xullo";6795963;28557092;4,2;356909;798338;2,2
"2003/Agosto";7697588;33851008;4,4;514028;1244312;2,4
"2003/Setembro";6517598;25943815;4;359072;749524;2,1
"2003/Outubro";5537248;19635547;3,6;258606;540816;2,1
"2003/Novembro";3868099;11600240;3;186815;390682;2,1
"2003/Decembro";3588510;10426118;2,9;166523;327362;2
"2004/Xaneiro";3153660;10404685;3,3;149815;298485;2
"2004/Febreiro";3970007;12278676;3,1;179565;355294;2
"2004/Marzo";4735606;14731784;3,1;209544;424659;2
"2004/Abril";5591761;17537681;3,1;283982;566790;2
"2004/Maio";6211439;20624722;3,3;314695;631864;2
"2004/Xuño";6525030;23776940;3,6;364961;774377;2,1
"2004/Xullo";7232976;29131986;4;435725;1002068;2,3
"2004/Agosto";8174422;34472302;4,2;557662;1353654;2,4
"2004/Setembro";6996313;26878757;3,8;414833;903016;2,2
"2004/Outubro";6227271;21180295;3,4;348610;713919;2,1
"2004/Novembro";4135114;12294550;3;220292;447587;2
"2004/Decembro";3877669;11384786;2,9;196305;402247;2,1
"2005/Xaneiro";3356718;11088055;3,3;150465;304844;2
"2005/Febreiro";4048915;12430710;3,1;168159;323164;1,9
"2005/Marzo";5247632;16184767;3,1;243531;501190;2,1
"2005/Abril";5516765;16480644;3;247600;484723;2
"2005/Maio";6737689;22318874;3,3;285453;570837;2
"2005/Xuño";6971240;25042689;3,6;327823;686259;2,1
"2005/Xullo";7795374;31022067;4;444056;1029088;2,3
"2005/Agosto";8555081;35857571;4,2;562299;1405234;2,5
"2005/Setembro";7442751;28313666;3,8;372192;813783;2,2
"2005/Outubro";6414668;22163277;3,5;301284;622464;2,1
"2005/Novembro";4511989;13162420;2,9;231499;466651;2
"2005/Decembro";4030203;11572418;2,9;195541;386545;2
"2006/Xaneiro";4004676;12075662;3;173085;341329;2
"2006/Febreiro";4709293;13221070;2,8;184829;362136;2
"2006/Marzo";5763835;16370344;2,8;223164;446843;2
"2006/Abril";7293282;21185887;2,9;317080;639995;2
"2006/Maio";7591789;23734897;3,1;301550;595914;2
