Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2022M08	568.722
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2022M07	464.774
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2022M06	312.708
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2022M05	272.096
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2022M04	276.491
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2022M03	174.139
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2022M02	153.048
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2022M01	109.775
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M12	180.211
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M11	196.209
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M10	304.785
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M09	365.209
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M08	573.951
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M07	437.167
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M06	229.307
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M05	137.888
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M04	93.955
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M03	81.456
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M02	38.927
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2021M01	39.470
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M12	48.740
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M11	47.909
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M10	126.936
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M09	190.153
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M08	357.723
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M07	239.192
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M06	53.914
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M05	4.606
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M04	0
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M03	74.065
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M02	171.517
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2020M01	151.176
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2019M12	207.211
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2019M11	197.689
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2019M10	273.113
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2019M09	330.300
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2019M08	504.005
