Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M08	568.722
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M07	464.774
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M06	312.708
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M05	272.096
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M04	276.491
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M03	174.139
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M02	153.048
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2022M01	109.775
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M12	180.211
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M11	196.209
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M10	304.785
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M09	365.209
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M08	573.951
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M07	437.167
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M06	229.307
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M05	137.888
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M04	93.955
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M03	81.456
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M02	38.927
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2021M01	39.470
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M12	48.740
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M11	47.909
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M10	126.936
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M09	190.153
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M08	357.723
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M07	239.192
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M06	53.914
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M05	4.606
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M04	0
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M03	74.065
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M02	171.517
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2020M01	151.176
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M12	207.211
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M11	197.689
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M10	273.113
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M09	330.300
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M08	504.005
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M07	404.302
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M06	290.639
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M05	257.141
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M04	250.716
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M03	189.698
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M02	155.544
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2019M01	139.771
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M12	185.832
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M11	195.501
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M10	263.596
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M09	320.345
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M08	483.188
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M07	377.584
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M06	283.272
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M05	231.563
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M04	218.486
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M03	218.929
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M02	151.232
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2018M01	138.288
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M12	171.455
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M11	193.308
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M10	276.745
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M09	324.660
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M08	532.857
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M07	427.993
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M06	294.836
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M05	231.162
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M04	275.310
Encuesta de Ocupación Hotelera	Total Nacional	12 Galicia	Total 	Residentes en España	Viajero	2017M03	183.403
