,accommodation,year,month,travellers,nights,avg_stay
0,Hotels,2001,Jan,112149.0,243320.0,2.2
1,Hotels,2001,Feb,131003.0,269836.0,2.1
2,Hotels,2001,Mar,153081.0,333034.0,2.2
3,Hotels,2001,Apr,192698.0,432250.0,2.2
4,Hotels,2001,May,190637.0,415208.0,2.2
5,Hotels,2001,Jun,223705.0,492633.0,2.2
6,Hotels,2001,Jul,298884.0,749927.0,2.5
7,Hotels,2001,Aug,427613.0,1156687.0,2.7
8,Hotels,2001,Sep,268462.0,630954.0,2.4
9,Hotels,2001,Oct,217515.0,482315.0,2.2
10,Hotels,2001,Nov,161423.0,346905.0,2.2
11,Hotels,2001,Dec,142827.0,298509.0,2.1
12,Hotels,2002,Jan,108183.0,222059.0,2.1
13,Hotels,2002,Feb,131176.0,280931.0,2.1
14,Hotels,2002,Mar,191192.0,443540.0,2.3
15,Hotels,2002,Apr,184244.0,421468.0,2.3
16,Hotels,2002,May,205784.0,476556.0,2.3
17,Hotels,2002,Jun,230917.0,536688.0,2.3
18,Hotels,2002,Jul,308475.0,786138.0,2.6
19,Hotels,2002,Aug,456479.0,1212446.0,2.7
20,Hotels,2002,Sep,269226.0,654173.0,2.4
21,Hotels,2002,Oct,223860.0,534390.0,2.4
22,Hotels,2002,Nov,156617.0,374867.0,2.4
23,Hotels,2002,Dec,146300.0,320322.0,2.2
24,Hotels,2003,Jan,137871.0,280901.0,2.0
25,Hotels,2003,Feb,139395.0,282281.0,2.0
26,Hotels,2003,Mar,180307.0,359477.0,2.0
27,Hotels,2003,Apr,224575.0,442799.0,2.0
28,Hotels,2003,May,248741.0,497162.0,2.0
29,Hotels,2003,Jun,278545.0,566649.0,2.0
30,Hotels,2003,Jul,356909.0,798338.0,2.2
31,Hotels,2003,Aug,514028.0,1244312.0,2.4
32,Hotels,2003,Sep,359072.0,749524.0,2.1
33,Hotels,2003,Oct,258606.0,540816.0,2.1
34,Hotels,2003,Nov,186815.0,390682.0,2.1
35,Hotels,2003,Dec,166523.0,327362.0,2.0
36,Hotels,2004,Jan,149815.0,298485.0,2.0
37,Hotels,2004,Feb,179565.0,355294.0,2.0
38,Hotels,2004,Mar,209544.0,424659.0,2.0
39,Hotels,2004,Apr,283982.0,566790.0,2.0
40,Hotels,2004,May,314695.0,631864.0,2.0
41,Hotels,2004,Jun,364961.0,774377.0,2.1
42,Hotels,2004,Jul,435725.0,1002068.0,2.3
43,Hotels,2004,Aug,557662.0,1353654.0,2.4
44,Hotels,2004,Sep,414833.0,903016.0,2.2
45,Hotels,2004,Oct,348610.0,713919.0,2.1
46,Hotels,2004,Nov,220292.0,447587.0,2.0
47,Hotels,2004,Dec,196305.0,402247.0,2.1
48,Hotels,2005,Jan,150465.0,304844.0,2.0
