destination,year,month,travellers_Spain,nights_Spain,travellers_Foreign,nights_Foreign,travellers_All,nights_All,avg_stay_All
A Coruña,2005,Jan,20895.0,37815.0,2303.0,4729.0,23198.0,42544.0,1.8
A Coruña,2005,Feb,24938.0,41524.0,2848.0,4857.0,27786.0,46381.0,1.7
A Coruña,2005,Mar,31503.0,54421.0,3140.0,4922.0,34643.0,59343.0,1.7
A Coruña,2005,Apr,34049.0,53523.0,3437.0,6315.0,37486.0,59838.0,1.6
A Coruña,2005,May,34192.0,59179.0,4055.0,7587.0,38247.0,66766.0,1.8
A Coruña,2005,Jun,34267.0,64823.0,5602.0,9801.0,39869.0,74624.0,1.9
A Coruña,2005,Jul,45763.0,78031.0,7791.0,13229.0,53554.0,91260.0,1.7
A Coruña,2005,Aug,49350.0,102505.0,10238.0,21417.0,59588.0,123922.0,2.1
A Coruña,2005,Sep,38350.0,65046.0,5277.0,10823.0,43627.0,75869.0,1.7
A Coruña,2005,Oct,35416.0,64004.0,4209.0,7373.0,39625.0,71377.0,1.8
A Coruña,2005,Nov,37110.0,61827.0,3856.0,7384.0,40966.0,69211.0,1.7
A Coruña,2005,Dec,28572.0,48535.0,4446.0,6297.0,33018.0,54832.0,1.7
A Coruña,2006,Jan,26108.0,46043.0,2643.0,5751.0,28751.0,51794.0,1.8
A Coruña,2006,Feb,25142.0,44695.0,3065.0,5399.0,28207.0,50094.0,1.8
A Coruña,2006,Mar,29475.0,51736.0,3729.0,7367.0,33204.0,59103.0,1.8
A Coruña,2006,Apr,36984.0,65142.0,4992.0,8131.0,41976.0,73273.0,1.8
A Coruña,2006,May,35148.0,63246.0,4486.0,8164.0,39634.0,71410.0,1.8
A Coruña,2006,Jun,33855.0,61579.0,5005.0,9381.0,38860.0,70960.0,1.8
A Coruña,2006,Jul,36918.0,74949.0,8366.0,14239.0,45284.0,89188.0,2.0
A Coruña,2006,Aug,44995.0,101799.0,8619.0,16583.0,53614.0,118382.0,2.2
A Coruña,2006,Sep,34301.0,64560.0,6406.0,12993.0,40707.0,77553.0,1.9
A Coruña,2006,Oct,38231.0,70179.0,4141.0,7647.0,42372.0,77826.0,1.8
A Coruña,2006,Nov,25661.0,51116.0,2642.0,5574.0,28303.0,56690.0,2.0
A Coruña,2006,Dec,25237.0,48703.0,4379.0,6579.0,29616.0,55282.0,1.9
A Coruña,2007,Jan,25712.0,44290.0,2524.0,4526.0,28236.0,48816.0,1.7
A Coruña,2007,Feb,24029.0,43401.0,3528.0,6797.0,27557.0,50198.0,1.8
A Coruña,2007,Mar,34962.0,59278.0,3621.0,7081.0,38583.0,66359.0,1.7
A Coruña,2007,Apr,34018.0,65469.0,5507.0,10601.0,39525.0,76070.0,1.9
A Coruña,2007,May,34128.0,56762.0,6392.0,13830.0,40520.0,70592.0,1.7
A Coruña,2007,Jun,31695.0,62797.0,6508.0,12832.0,38203.0,75629.0,2.0
A Coruña,2007,Jul,43080.0,83396.0,7742.0,15021.0,50822.0,98417.0,1.9
A Coruña,2007,Aug,43397.0,95953.0,9234.0,18291.0,52631.0,114244.0,2.2
A Coruña,2007,Sep,35357.0,69311.0,6114.0,11334.0,41471.0,80645.0,1.9
A Coruña,2007,Oct,31329.0,64699.0,6652.0,12919.0,37981.0,77618.0,2.0
A Coruña,2007,Nov,27973.0,56473.0,3911.0,8229.0,31884.0,64702.0,2.0
A Coruña,2007,Dec,23531.0,48704.0,3579.0,6841.0,27110.0,55545.0,2.1
A Coruña,2008,Jan,23950.0,47389.0,3122.0,6831.0,27072.0,54220.0,2.0
A Coruña,2008,Feb,25725.0,48639.0,4042.0,9043.0,29767.0,57682.0,1.9
A Coruña,2008,Mar,30251.0,57157.0,4120.0,8344.0,34371.0,65501.0,1.9
A Coruña,2008,Apr,31399.0,58731.0,3922.0,8650.0,35321.0,67381.0,1.9
A Coruña,2008,May,30606.0,62183.0,5170.0,11873.0,35776.0,74056.0,2.1
A Coruña,2008,Jun,29054.0,56993.0,6084.0,13063.0,35138.0,70056.0,2.0
A Coruña,2008,Jul,28958.0,69465.0,6065.0,13871.0,35023.0,83336.0,2.4
A Coruña,2008,Aug,32970.0,87842.0,7047.0,14662.0,40017.0,102504.0,2.6
A Coruña,2008,Sep,25118.0,58360.0,4522.0,9039.0,29640.0,67399.0,2.3
A Coruña,2008,Oct,27680.0,60194.0,4275.0,10336.0,31955.0,70530.0,2.2
A Coruña,2008,Nov,23683.0,49647.0,3343.0,7907.0,27026.0,57554.0,2.1
A Coruña,2008,Dec,18619.0,40190.0,3270.0,7395.0,21889.0,47585.0,2.2
A Coruña,2009,Jan,17774.0,35135.0,2894.0,7118.0,20668.0,42253.0,2.0
A Coruña,2009,Feb,18519.0,38955.0,3241.0,6521.0,21760.0,45476.0,2.1
A Coruña,2009,Mar,23219.0,44920.0,3451.0,6822.0,26670.0,51742.0,1.9
A Coruña,2009,Apr,25674.0,52810.0,3263.0,6701.0,28937.0,59511.0,2.1
A Coruña,2009,May,27191.0,54256.0,4056.0,9150.0,31247.0,63406.0,2.0
A Coruña,2009,Jun,24950.0,55226.0,4725.0,10213.0,29675.0,65439.0,2.2
A Coruña,2009,Jul,31563.0,77433.0,7335.0,17270.0,38898.0,94703.0,2.4
A Coruña,2009,Aug,39734.0,95898.0,6857.0,15045.0,46591.0,110943.0,2.4
A Coruña,2009,Sep,31357.0,62985.0,5328.0,11610.0,36685.0,74595.0,2.0
A Coruña,2009,Oct,31603.0,62427.0,6969.0,13520.0,38572.0,75947.0,2.0
A Coruña,2009,Nov,23768.0,47575.0,3032.0,6623.0,26800.0,54198.0,2.0
A Coruña,2009,Dec,20935.0,41640.0,2886.0,6191.0,23821.0,47831.0,2.0
A Coruña,2010,Jan,19273.0,33480.0,2362.0,5734.0,21635.0,39214.0,1.8
A Coruña,2010,Feb,19177.0,33032.0,3085.0,7555.0,22262.0,40587.0,1.8
A Coruña,2010,Mar,23979.0,42683.0,2675.0,5911.0,26654.0,48594.0,1.8
A Coruña,2010,Apr,28073.0,52950.0,4374.0,8906.0,32447.0,61856.0,1.9
A Coruña,2010,May,28249.0,56931.0,5939.0,11114.0,34188.0,68045.0,2.0
A Coruña,2010,Jun,27631.0,53013.0,5858.0,11741.0,33489.0,64754.0,1.9
A Coruña,2010,Jul,31447.0,70001.0,7504.0,16019.0,38951.0,86020.0,2.2
A Coruña,2010,Aug,34760.0,88981.0,9172.0,20716.0,43932.0,109697.0,2.5
A Coruña,2010,Sep,31121.0,63779.0,6766.0,14993.0,37887.0,78772.0,2.1
A Coruña,2010,Oct,30625.0,59511.0,5653.0,12594.0,36278.0,72105.0,2.0
A Coruña,2010,Nov,22909.0,42062.0,2705.0,6135.0,25614.0,48197.0,1.9
A Coruña,2010,Dec,23102.0,40092.0,3601.0,7881.0,26703.0,47973.0,1.8
A Coruña,2011,Jan,18147.0,31750.0,2320.0,5842.0,20467.0,37592.0,1.8
A Coruña,2011,Feb,20585.0,35905.0,3545.0,8255.0,24130.0,44160.0,1.8
A Coruña,2011,Mar,23491.0,41645.0,3793.0,7615.0,27284.0,49260.0,1.8
A Coruña,2011,Apr,27848.0,59308.0,4711.0,9833.0,32559.0,69141.0,2.1
A Coruña,2011,May,23648.0,46530.0,5436.0,11470.0,29084.0,58000.0,2.0
A Coruña,2011,Jun,24702.0,48582.0,6283.0,12702.0,30985.0,61284.0,2.0
A Coruña,2011,Jul,33565.0,76828.0,6712.0,13595.0,40277.0,90423.0,2.3
A Coruña,2011,Aug,33595.0,80862.0,9584.0,20271.0,43179.0,101133.0,2.3
A Coruña,2011,Sep,25205.0,49687.0,7379.0,14118.0,32584.0,63805.0,2.0
A Coruña,2011,Oct,22878.0,41243.0,4486.0,8762.0,27364.0,50005.0,1.8
A Coruña,2011,Nov,20898.0,37062.0,2767.0,5262.0,23665.0,42324.0,1.8
A Coruña,2011,Dec,18386.0,35955.0,2984.0,7067.0,21370.0,43022.0,2.0
A Coruña,2012,Jan,15963.0,31121.0,2365.0,5857.0,18328.0,36978.0,2.0
A Coruña,2012,Feb,16422.0,33095.0,3525.0,9474.0,19947.0,42569.0,2.1
A Coruña,2012,Mar,19341.0,38452.0,3516.0,6738.0,22857.0,45190.0,2.0
A Coruña,2012,Apr,23407.0,49773.0,3693.0,7269.0,27100.0,57042.0,2.1
