accommodation_type,year,month,spain_travelers,spain_nights,spain_avg_stay,galicia_travelers,galicia_nights,galicia_avg_stay
Hotels,2001,Jan,3004915.0,10132886.0,3.4,112149.0,243320.0,2.2
Hotels,2001,Feb,3518883.0,11753586.0,3.3,131003.0,269836.0,2.1
Hotels,2001,Mar,4333254.0,14516657.0,3.4,153081.0,333034.0,2.2
Hotels,2001,Apr,5384678.0,18085751.0,3.4,192698.0,432250.0,2.2
Hotels,2001,May,5673119.0,21063744.0,3.7,190637.0,415208.0,2.2
Hotels,2001,Jun,5914352.0,23896573.0,4.0,223705.0,492633.0,2.2
Hotels,2001,Jul,6405959.0,28657024.0,4.5,298884.0,749927.0,2.5
Hotels,2001,Aug,7179051.0,32004309.0,4.5,427613.0,1156687.0,2.7
Hotels,2001,Sep,6307038.0,26584837.0,4.2,268462.0,630954.0,2.4
Hotels,2001,Oct,5310403.0,20014768.0,3.8,217515.0,482315.0,2.2
Hotels,2001,Nov,3657828.0,11920037.0,3.3,161423.0,346905.0,2.2
Hotels,2001,Dec,3214821.0,10051397.0,3.1,142827.0,298509.0,2.1
Hotels,2002,Jan,2873435.0,9797644.0,3.4,108183.0,222059.0,2.1
Hotels,2002,Feb,3507891.0,11501625.0,3.3,131176.0,280931.0,2.1
Hotels,2002,Mar,4756621.0,15746849.0,3.3,191192.0,443540.0,2.3
Hotels,2002,Apr,4853120.0,15757341.0,3.3,184244.0,421468.0,2.3
Hotels,2002,May,5677357.0,20427391.0,3.6,205784.0,476556.0,2.3
Hotels,2002,Jun,5725690.0,22781459.0,4.0,230917.0,536688.0,2.3
Hotels,2002,Jul,6407711.0,27712422.0,4.3,308475.0,786138.0,2.6
Hotels,2002,Aug,7383775.0,32147463.0,4.4,456479.0,1212446.0,2.7
Hotels,2002,Sep,6224753.0,25483036.0,4.1,269226.0,654173.0,2.4
Hotels,2002,Oct,5360250.0,19395671.0,3.6,223860.0,534390.0,2.4
Hotels,2002,Nov,3714810.0,11536070.0,3.1,156617.0,374867.0,2.4
Hotels,2002,Dec,3383399.0,10267810.0,3.0,146300.0,320322.0,2.2
Hotels,2003,Jan,2971006.0,10088783.0,3.4,137871.0,280901.0,2.0
Hotels,2003,Feb,3463674.0,11135676.0,3.2,139395.0,282281.0,2.0
Hotels,2003,Mar,4421552.0,14414114.0,3.3,180307.0,359477.0,2.0
Hotels,2003,Apr,5408500.0,17483719.0,3.2,224575.0,442799.0,2.0
Hotels,2003,May,5984961.0,20977540.0,3.5,248741.0,497162.0,2.0
Hotels,2003,Jun,6276681.0,24047255.0,3.8,278545.0,566649.0,2.0
Hotels,2003,Jul,6795963.0,28557092.0,4.2,356909.0,798338.0,2.2
Hotels,2003,Aug,7697588.0,33851008.0,4.4,514028.0,1244312.0,2.4
Hotels,2003,Sep,6517598.0,25943815.0,4.0,359072.0,749524.0,2.1
Hotels,2003,Oct,5537248.0,19635547.0,3.6,258606.0,540816.0,2.1
Hotels,2003,Nov,3868099.0,11600240.0,3.0,186815.0,390682.0,2.1
Hotels,2003,Dec,3588510.0,10426118.0,2.9,166523.0,327362.0,2.0
Hotels,2004,Jan,3153660.0,10404685.0,3.3,149815.0,298485.0,2.0
Hotels,2004,Feb,3970007.0,12278676.0,3.1,179565.0,355294.0,2.0
Hotels,2004,Mar,4735606.0,14731784.0,3.1,209544.0,424659.0,2.0
Hotels,2004,Apr,5591761.0,17537681.0,3.1,283982.0,566790.0,2.0
Hotels,2004,May,6211439.0,20624722.0,3.3,314695.0,631864.0,2.0
Hotels,2004,Jun,6525030.0,23776940.0,3.6,364961.0,774377.0,2.1
Hotels,2004,Jul,7232976.0,29131986.0,4.0,435725.0,1002068.0,2.3
Hotels,2004,Aug,8174422.0,34472302.0,4.2,557662.0,1353654.0,2.4
Hotels,2004,Sep,6996313.0,26878757.0,3.8,414833.0,903016.0,2.2
Hotels,2004,Oct,6227271.0,21180295.0,3.4,348610.0,713919.0,2.1
Hotels,2004,Nov,4135114.0,12294550.0,3.0,220292.0,447587.0,2.0
Hotels,2004,Dec,3877669.0,11384786.0,2.9,196305.0,402247.0,2.1
Hotels,2005,Jan,3356718.0,11088055.0,3.3,150465.0,304844.0,2.0
Hotels,2005,Feb,4048915.0,12430710.0,3.1,168159.0,323164.0,1.9
Hotels,2005,Mar,5247632.0,16184767.0,3.1,243531.0,501190.0,2.1
Hotels,2005,Apr,5516765.0,16480644.0,3.0,247600.0,484723.0,2.0
Hotels,2005,May,6737689.0,22318874.0,3.3,285453.0,570837.0,2.0
Hotels,2005,Jun,6971240.0,25042689.0,3.6,327823.0,686259.0,2.1
Hotels,2005,Jul,7795374.0,31022067.0,4.0,444056.0,1029088.0,2.3
Hotels,2005,Aug,8555081.0,35857571.0,4.2,562299.0,1405234.0,2.5
Hotels,2005,Sep,7442751.0,28313666.0,3.8,372192.0,813783.0,2.2
Hotels,2005,Oct,6414668.0,22163277.0,3.5,301284.0,622464.0,2.1
Hotels,2005,Nov,4511989.0,13162420.0,2.9,231499.0,466651.0,2.0
Hotels,2005,Dec,4030203.0,11572418.0,2.9,195541.0,386545.0,2.0
Hotels,2006,Jan,4004676.0,12075662.0,3.0,173085.0,341329.0,2.0
Hotels,2006,Feb,4709293.0,13221070.0,2.8,184829.0,362136.0,2.0
Hotels,2006,Mar,5763835.0,16370344.0,2.8,223164.0,446843.0,2.0
Hotels,2006,Apr,7293282.0,21185887.0,2.9,317080.0,639995.0,2.0
Hotels,2006,May,7591789.0,23734897.0,3.1,301550.0,595914.0,2.0
Hotels,2006,Jun,8156578.0,27996368.0,3.4,337023.0,694630.0,2.1
Hotels,2006,Jul,9057841.0,34105558.0,3.8,436045.0,1053291.0,2.4
Hotels,2006,Aug,9713364.0,37636214.0,3.9,537823.0,1353909.0,2.5
Hotels,2006,Sep,8420366.0,29918731.0,3.6,368279.0,788320.0,2.1
Hotels,2006,Oct,7357196.0,23372257.0,3.2,308137.0,646564.0,2.1
Hotels,2006,Nov,5114939.0,14269663.0,2.8,217297.0,442136.0,2.0
Hotels,2006,Dec,4672741.0,13141207.0,2.8,194910.0,392976.0,2.0
Hotels,2007,Jan,4158378.0,12356394.0,3.0,172364.0,343879.0,2.0
Hotels,2007,Feb,4853246.0,13555040.0,2.8,183873.0,363288.0,2.0
Hotels,2007,Mar,6151952.0,17428802.0,2.8,236112.0,475331.0,2.0
Hotels,2007,Apr,7394418.0,21690169.0,2.9,311548.0,644774.0,2.1
Hotels,2007,May,7639348.0,23486608.0,3.1,302965.0,599666.0,2.0
Hotels,2007,Jun,8555535.0,28459008.0,3.3,345944.0,728375.0,2.1
Hotels,2007,Jul,9176950.0,34315590.0,3.7,436462.0,1002555.0,2.3
Hotels,2007,Aug,10025687.0,38132493.0,3.8,560665.0,1368319.0,2.4
Hotels,2007,Sep,8621798.0,30142242.0,3.5,392998.0,837584.0,2.1
Hotels,2007,Oct,7540505.0,23476804.0,3.1,353104.0,734608.0,2.1
Hotels,2007,Nov,5534255.0,15289839.0,2.8,241326.0,511589.0,2.1
Hotels,2007,Dec,4771361.0,13356493.0,2.8,202162.0,415010.0,2.1
Hotels,2008,Jan,4328480.0,12710146.0,2.9,177452.0,366988.0,2.1
Hotels,2008,Feb,5242247.0,14831691.0,2.8,201173.0,415535.0,2.1
Hotels,2008,Mar,6614348.0,19216126.0,2.9,268667.0,587551.0,2.2
Hotels,2008,Apr,6656665.0,19300764.0,2.9,262492.0,541130.0,2.1
Hotels,2008,May,8109904.0,25060656.0,3.1,330869.0,685871.0,2.1
Hotels,2008,Jun,8280336.0,27737509.0,3.4,325833.0,702436.0,2.2
Hotels,2008,Jul,9219035.0,34559658.0,3.8,405295.0,964138.0,2.4
Hotels,2008,Aug,9954774.0,37945216.0,3.8,511162.0,1252030.0,2.5
Hotels,2008,Sep,8359855.0,29305643.0,3.5,352205.0,777991.0,2.2
Hotels,2008,Oct,7035977.0,22253202.0,3.2,314422.0,677489.0,2.2
Hotels,2008,Nov,4870882.0,13685099.0,2.8,209534.0,454474.0,2.2
Hotels,2008,Dec,4326374.0,11946130.0,2.8,173633.0,364733.0,2.1
